Название городов и округов,Преемлющих священство муж.,Преемлющих священство жен.,Беспоповщицких сект признающих брак муж.,Беспоповщицких сект признающих брак жен.,Беспоповщицких сект не признающих брак муж.,Беспоповщицких сект не признающих брак жен.
В Красноярске,—,—,2,—,1,—
— округе оного,5,—,43,21,27,11
— Енисейске,—,—,—,—,—,—
— округе оного,—,—,2,—,4,3
— Ачинске,2,1,1,1,—,—
— округе оного,—,—,108,110,—,—
— Канске,—,—,—,—,—,—
— округе оного,7,—,17,15,1,1
— Минусинске,4,2,—,—,—,—
— округе оного,340,351,—,—,22,19
— Туруханском крае,—,—,25,14,—,—
Итого по всей губернии,358,354,198,159,55,34
