Звание округов,Христиан римско-католического исповедания муж.,Христиан римско-католического исповедания жен.,Христиан лютеранско-реформатского муж.,Христиан лютеранско-реформатского жен.,Нехристиан мусульманского муж.,Нехристиан мусульманского жен.,Нехристиан идолопоклонников муж.,Нехристиан идолопоклонников жен.,Нехристиан евреев муж.,Нехристиан евреев жен.
В Красноярске,170,68,52,19,33,16,—,—,133,117
— округе оного,524,79,134,79,152,11,—,—,143,115
— Енисейске,41,25,5,5,42,8,—,—,169,138
— округе оного,245,39,9,1,65,2,102,47,94,23
— Ачинске,10,2,5,2,3,1,—,—,59,62
— округе оного,303,18,14,—,62,23,—,—,56,57
— Канке,16,8,1,2,1,1,—,—,52,44
— округе оного,482,139,32,18,139,36,—,—,120,84
— Минусинске,17,15,—,29,—,—,—,—,—,—
— округе оного,242,131,206,261,22,13,3096,3210,41,39
— Туруханском отдельном управлении,—,—,—,—,—,—,1167,1004,—,—
Итого во всей губернии,2152,534,1158,389,524,111,4365,4321,367,739
