По городам и округам,Число пожаров,Сгорело зданий церквей,Сгорело зданий казенных,Сгорело зданий домов крестьян казенных помещичьих и вообще частным лицам принадлежащих а также фабрик заводов и мельниц,На какую сумму руб.,На какую сумму коп.,Число погибших людей от пожаров,Кораблекрушений
В Красноярске,4,—,—,4,2200,—,—,—
— округе оного,21,—,—,12,2203,40,—,—
— Енисейске,2,—,—,2,1200,—,—,—
— округе оного,14,—,—,25,5427,90,—,—
— Ачинске,—,—,—,—,—,—,—,—
— округе оного,6,—,—,7,672,70,—,—
— Канске,1,—,—,1,300,—,—,—
— округе оного,19,—,—,18,7461,40,2,—
— Минусинске,—,—,—,—,—,—,—,—
— округе оного,26,—,—,23,3092,40,4,—
— Туруханском крае,—,—,—,—,—,—,—,—
Итого в губернии,93,—,—,90,22557,—,80,6
