Разбитие судов на реках каналах и озерах,Градобитий,Опустошения бурями,Внезапные смертные случаи убитые грозою,Внезапные смертные случаи от разных несчастных случаев,Внезапные смертные случаи от невоздержания,Внезапные смертные случаи от болезненных припадков,Внезапные смертные случаи утонувшие,Внезапные смертные случаи замерзшие,Найденные младенцы живые,Найденные младенцы мертвые,Наводнения,Землетрясения
—,—,—,—,3,2,1,—,—,—,—,—,—
—,2,—,—,39,7,23,14,4,—,—,—,—
—,—,—,—,—,15,4,15,3,—,—,—,—
2,1,—,1,21,7,14,13,2,—,1,—,—
—,—,—,—,2,1,3,1,—,—,—,—,—
—,—,—,1,4,27,2,2,—,—,1,—,—
—,—,1,—,2,—,—,—,1,—,—,—,—
—,1,—,—,18,15,9,4,1,—,—,—,—
—,—,—,—,—,—,—,1,—,—,—,—,—
—,—,—,2,44,7,5,11,—,—,1,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—
2,4,1,4,133,81,66,68,11,—,3,—,—
