id;date_text;event_ref;context
d1;1864 г.;;ДЕЛО КОМИТЕТА МИНИСТРОВ ПО СИБИРИ Копия со всеподданнейшего отчета Военного Губернатора г. Красноярска и Енисейского Гражданского Губернатора о состоянии Енисейской губернии за 1864 г. Началось 26 мая 1865 г. Кончилось _ _ _ _ _ _ 1 8 __ г . На 177 листах
d2;26 мая 1865 г.;;ДЕЛО КОМИТЕТА МИНИСТРОВ ПО СИБИРИ Копия со всеподданнейшего отчета Военного Губернатора г. Красноярска и Енисейского Гражданского Губернатора о состоянии Енисейской губернии за 1864 г. Началось 26 мая 1865 г. Кончилось _ _ _ _ _ _ 1 8 __ г . На 177 листах
d3;26 мая 1865;;26 мая 1865 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНСКИЙ СТАТИСТИЧЕСКИЙ КОМИТЕТ 20 апреля 1865 года № 170 г. Красноярск В Канцелярию Комитета Кавказского и Сибирского Имею честь препроводить в Канцелярию Комитета копию с отчета, представленного мною Его Императорскому Величеству, о состоянии Высочайше вверенной мне губернии за 1864 год со следующими к сему отчету примечаниями. Военный Губернатор г. Красноярска и Енисейский Гражданский Губернатор Генерал-Майор Замятнин
d4;20 апреля 1865 года;;26 мая 1865 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНСКИЙ СТАТИСТИЧЕСКИЙ КОМИТЕТ 20 апреля 1865 года № 170 г. Красноярск В Канцелярию Комитета Кавказского и Сибирского Имею честь препроводить в Канцелярию Комитета копию с отчета, представленного мною Его Императорскому Величеству, о состоянии Высочайше вверенной мне губернии за 1864 год со следующими к сему отчету примечаниями. Военный Губернатор г. Красноярска и Енисейский Гражданский Губернатор Генерал-Майор Замятнин
d5;1864 год;;26 мая 1865 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНСКИЙ СТАТИСТИЧЕСКИЙ КОМИТЕТ 20 апреля 1865 года № 170 г. Красноярск В Канцелярию Комитета Кавказского и Сибирского Имею честь препроводить в Канцелярию Комитета копию с отчета, представленного мною Его Императорскому Величеству, о состоянии Высочайше вверенной мне губернии за 1864 год со следующими к сему отчету примечаниями. Военный Губернатор г. Красноярска и Енисейский Гражданский Губернатор Генерал-Майор Замятнин
d6;1864 ГОД;;"Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864 ГОД ГОД I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИСИЛЫ ГУБЕРНИИ А. Местность Енисейская губерния занимает до 2 062 322 квадратных верст, или 214 825 235 десятин и 500 сажень. Из этого пространства положительно измеренной земли 3 476 509 десятин 1 735 сажень, в том числе под лесами 710 321 десятина 2 158 сажень. Из всего пространства измеренной земли занимают: города — 65 110 десятин 474 сажени и округа — 3 411 399 десятин 1 261 сажень. Б. Народонаселение Жителей всех сословий считалось в 1864 г. 324 094 обоего пола душ. Избыток родившихся над умершими в 1864 г. — 999, относится к общему числу жителей как 1:327. В 1864 г. причислено из других губерний людей разных сословий — 1 164, водворено в казачий полк из вновь переселенных нижних чинов — 24 (в том числе 9 женщин); поступило сосланных на житье — 233, на водворение — 1 472, на поселение — 1 317, осужденных в катаржную работу — 220; политических преступников: на житье — 5, на водворение — 1, на поселение — 857, в катаржную работу — 1; перечислено по разным случаям в другие губернии — 332 человека. Распределение жителей по сословиям и другие подробности о народонаселении означены в ведомости под № 22."
d7;1864 г.;;"Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864 ГОД ГОД I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИСИЛЫ ГУБЕРНИИ А. Местность Енисейская губерния занимает до 2 062 322 квадратных верст, или 214 825 235 десятин и 500 сажень. Из этого пространства положительно измеренной земли 3 476 509 десятин 1 735 сажень, в том числе под лесами 710 321 десятина 2 158 сажень. Из всего пространства измеренной земли занимают: города — 65 110 десятин 474 сажени и округа — 3 411 399 десятин 1 261 сажень. Б. Народонаселение Жителей всех сословий считалось в 1864 г. 324 094 обоего пола душ. Избыток родившихся над умершими в 1864 г. — 999, относится к общему числу жителей как 1:327. В 1864 г. причислено из других губерний людей разных сословий — 1 164, водворено в казачий полк из вновь переселенных нижних чинов — 24 (в том числе 9 женщин); поступило сосланных на житье — 233, на водворение — 1 472, на поселение — 1 317, осужденных в катаржную работу — 220; политических преступников: на житье — 5, на водворение — 1, на поселение — 857, в катаржную работу — 1; перечислено по разным случаям в другие губернии — 332 человека. Распределение жителей по сословиям и другие подробности о народонаселении означены в ведомости под № 22."
d8;1864 г.;;"Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864 ГОД ГОД I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИСИЛЫ ГУБЕРНИИ А. Местность Енисейская губерния занимает до 2 062 322 квадратных верст, или 214 825 235 десятин и 500 сажень. Из этого пространства положительно измеренной земли 3 476 509 десятин 1 735 сажень, в том числе под лесами 710 321 десятина 2 158 сажень. Из всего пространства измеренной земли занимают: города — 65 110 десятин 474 сажени и округа — 3 411 399 десятин 1 261 сажень. Б. Народонаселение Жителей всех сословий считалось в 1864 г. 324 094 обоего пола душ. Избыток родившихся над умершими в 1864 г. — 999, относится к общему числу жителей как 1:327. В 1864 г. причислено из других губерний людей разных сословий — 1 164, водворено в казачий полк из вновь переселенных нижних чинов — 24 (в том числе 9 женщин); поступило сосланных на житье — 233, на водворение — 1 472, на поселение — 1 317, осужденных в катаржную работу — 220; политических преступников: на житье — 5, на водворение — 1, на поселение — 857, в катаржную работу — 1; перечислено по разным случаям в другие губернии — 332 человека. Распределение жителей по сословиям и другие подробности о народонаселении означены в ведомости под № 22."
d9;1864 г.;;"Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864 ГОД ГОД I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИСИЛЫ ГУБЕРНИИ А. Местность Енисейская губерния занимает до 2 062 322 квадратных верст, или 214 825 235 десятин и 500 сажень. Из этого пространства положительно измеренной земли 3 476 509 десятин 1 735 сажень, в том числе под лесами 710 321 десятина 2 158 сажень. Из всего пространства измеренной земли занимают: города — 65 110 десятин 474 сажени и округа — 3 411 399 десятин 1 261 сажень. Б. Народонаселение Жителей всех сословий считалось в 1864 г. 324 094 обоего пола душ. Избыток родившихся над умершими в 1864 г. — 999, относится к общему числу жителей как 1:327. В 1864 г. причислено из других губерний людей разных сословий — 1 164, водворено в казачий полк из вновь переселенных нижних чинов — 24 (в том числе 9 женщин); поступило сосланных на житье — 233, на водворение — 1 472, на поселение — 1 317, осужденных в катаржную работу — 220; политических преступников: на житье — 5, на водворение — 1, на поселение — 857, в катаржную работу — 1; перечислено по разным случаям в другие губернии — 332 человека. Распределение жителей по сословиям и другие подробности о народонаселении означены в ведомости под № 22."
d10;1864 г.;;"8 В. Дворянство В Енисейской губернии находятся два дворянских имения, которые нигде не заложены. Г. Городские обыватели Свидетельств на право торговли в 1864 г. взято: местными купцами: 1-й гильдии — 35, 2-й гильдии — 285; иногородними и временно торгующими: 1-й гильдии — 9, 2-й гильдии — 40. На основании Высочайше утвержденного положения 1 января 1863 г. капиталов при взятии гильдейских свидетельств объявляемо не было. Д. Торговля Торговля в Енисейской губернии незначительна и ограничивается только распродажей местным жителям самых необходимых предметов, закупаемых на Нижегородской и Ирбитской ярмарках. Е. Промышленность Главнейший промысел собственно жителей Енисейской губернии заключается в работах на золотых промыслах, поставке на оные собственных своих земледельческих произведений и разных тяжестей и также перевозке чаев и товаров, составляющих предметы Кяхтинской торговли. Звериный промысел с развитием золотопромышленности постоянно уменьшается, потому что при занятии и разработке мест, никем прежде не обитаемых, вытесняемый постоянно зверь удалился в глубину тайги или перешел в смежные губернии. Значительная часть звероловов из крестьян совершенно оставили этот промысел, другие же, и преимущественно из инородцев, занимаются таковым в местах, отдаленных от их жилищ на 1 000 и более верст, но, несмотря на то, улов зверя едва вознаграждает труд промышленников. Рыбный промысел с открытием пароходства по реке Енисей, обеспечивающего сообщение с Туруханским краем, начинает увеличиваться."
