НАЗВАНIЕ ГОРОДОВЪ И ОКРУГОВЪ;Прiемлющихъ священство (Муж. п.);Прiемлющихъ священство (Жен. п.);Безпоповщицкихъ сектъ: Признающихъ браки (Муж. п.);Безпоповщицкихъ сектъ: Признающихъ браки (Жен. п.);Безпоповщицкихъ сектъ: Не признающихъ браковъ (Муж. п.);Безпоповщицкихъ сектъ: Не признающихъ браковъ (Жен. п.)
Въ Красноярскѣ;—;—;2;—;1;—
— округѣ оного;5;—;43;21;27;11
— Енисейскѣ;—;—;—;—;—;—
— округѣ оного;—;—;2;—;4;3
— Ачинскѣ;2;1;1;1;—;—
— округѣ оного;—;—;108;110;—;—
— Канскѣ;—;—;—;—;—;—
— округѣ оного;7;—;17;15;1;1
— Минусинскѣ;4;2;—;—;—;—
— округѣ оного;340;351;—;—;22;19
— Туруханскомъ краѣ;—;—;25;14;—;—
Итого по всей губерніи;358;354;198;159;55;34
