Малакановъ, Духоборцевъ и Иконоборцевъ (Муж. п.);Малакановъ, Духоборцевъ и Иконоборцевъ (Жен. п.);Субботниковъ или Іудействующихъ (Муж. п.);Субботниковъ или Іудействующихъ (Жен. п.);Скопцовъ, Хлыстовъ, Шалопутовъ и другихъ придерживающихся скопчества (Муж. п.);Скопцовъ, Хлыстовъ, Шалопутовъ и другихъ придерживающихся скопчества (Жен. п.);ИТОГО (Муж. п.);ИТОГО (Жен. п.);Всего
8;2;—;—;4;—;15;2;17
10;7;4;—;11;6;100;45;145
—;—;—;—;2;—;2;—;2
1;1;—;—;2;1;9;4;13
—;—;—;—;1;1;4;3;7
1;—;—;—;1;1;109;111;220
—;—;—;—;3;—;3;—;3
2;—;—;1;3;—;30;15;45
—;—;—;—;15;10;19;12;31
98;75;279;259;56;34;795;738;1533
39;38;—;2;37;36;101;90;191
158;122;283;262;135;89;1187;1020;2207
