Званіе округовъ;Христіанъ: Римско-Католическаго исповѣданія (Муж.);Христіанъ: Римско-Католическаго исповѣданія (Жен.);Христіанъ: Лютеранско-Реформатскаго (Муж.);Христіанъ: Лютеранско-Реформатскаго (Жен.);Не христіанъ: Мусульманскаго (Муж.);Не христіанъ: Мусульманскаго (Жен.);Не христіанъ: Идолопоклонниковъ (Муж.);Не христіанъ: Идолопоклонниковъ (Жен.);Не христіанъ: Евреевъ (Муж.);Не христіанъ: Евреевъ (Жен.)
Въ Красноярскѣ;170;68;52;19;33;16;—;—;133;117
— округѣ оного;524;79;134;79;152;11;—;—;143;115
— Енисейскѣ;41;25;5;5;42;8;—;—;169;138
— округѣ оного;245;39;9;1;65;2;102;47;94;23
— Ачинскѣ;10;2;5;2;3;1;—;—;59;62
— округѣ оного;303;18;14;—;62;23;—;—;56;57
— Канскѣ;16;8;1;2;1;1;—;—;52;44
— округѣ оного;482;139;32;18;139;36;—;—;120;84
— Минусинскѣ;17;15;—;29;—;—;—;—;—;—
— округѣ оного;242;131;206;261;22;13;3096;3210;41;39
— Туруханское Отдѣленіе Управленія;—;—;—;—;—;—;1167;1004;—;—
Итого во всей губерніи;2152;534;1158;389;524;111;4365;4321;367;739
