ПО ГОРОДАМЪ и ОКРУГАМЪ;Число пожаровъ;СГОРѢЛО ЗДАНIЙ: Церквей;СГОРѢЛО ЗДАНIЙ: Казенныхъ зданій;СГОРѢЛО ЗДАНIЙ: Домовъ крестьянъ...;СГОРѢЛО ЗДАНIЙ: На какую сумму (Руб.);СГОРѢЛО ЗДАНIЙ: На какую сумму (Коп.);Число погибшихъ людей отъ пожаровъ;Кораблекрушеній
Въ Красноярске;4;—;—;4;2200;—;—;—
— округѣ оного;21;—;—;12;2203;40;—;—
— Енисейскѣ;2;—;—;2;1200;—;—;—
— округѣ оного;14;—;—;25;5427;90;—;—
— Ачинскѣ;—;—;—;—;—;—;—;—
— округѣ оного;6;—;—;7;672;70;—;—
— Канскѣ;1;—;—;1;300;—;—;—
— округѣ оного;19;—;—;18;7461;40;2;—
— Минусинскѣ;—;—;—;—;—;—;—;—
— округѣ оного;26;—;—;23;3092;40;4;—
— Туруханскомъ краѣ;—;—;—;—;—;—;—;—
Итого по всей губерніи;93;—;—;90;22557;80;6;—
