ПО ГОРОДАМЪ и ОКРУГАМЪ;Разбитіе судовъ на рѣкахъ, каналахъ или озерахъ;Градобитій;Опустошенія бурями;ВНЕЗАПНЫЯ СМЕРТНЫЯ СЛУЧАИ: Убитые грозою;ВНЕЗАПНЫЯ СМЕРТНЫЯ СЛУЧАИ: Отъ разныхъ нечаянныхъ случаевъ;ВНЕЗАПНЫЯ СМЕРТНЫЯ СЛУЧАИ: Отъ невоздержанія;ВНЕЗАПНЫЯ СМЕРТНЫЯ СЛУЧАИ: Отъ болѣзненныхъ припадковъ;ВНЕЗАПНЫЯ СМЕРТНЫЯ СЛУЧАИ: Утонувшіе;ВНЕЗАПНЫЯ СМЕРТНЫЯ СЛУЧАИ: Замерзшіе;Найденные младенцы: Живые;Найденные младенцы: Мертвые;Наводненія;Землетрясенія
Въ Красноярске;—;—;—;—;3;2;1;—;—;—;—;—;—
— округѣ оного;—;2;—;—;39;7;23;14;4;—;—;—;—
— Енисейскѣ;—;—;—;—;—;15;4;15;3;—;—;—;—
— округѣ оного;2;1;—;1;21;7;14;13;2;—;1;—;—
— Ачинскѣ;—;—;—;—;2;1;3;1;—;—;—;—;—
— округѣ оного;—;—;—;1;4;27;2;2;—;—;1;—;—
— Канскѣ;—;—;1;—;2;—;—;—;1;—;—;—;—
— округѣ оного;—;1;—;—;18;15;9;4;1;—;—;—;—
— Минусинскѣ;—;—;—;—;—;—;—;1;—;—;—;—;—
— округѣ оного;—;—;—;2;44;7;5;11;—;—;1;—;—
— Туруханскомъ краѣ;—;—;—;—;—;—;—;—;—;—;—;—;—
Итого по всей губерніи;2;4;1;4;133;81;66;68;11;—;3;—;—
