ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;1872 года;1872;;
2;28 июля 1872 года;1872-07-28;М. В. Д. НАЧАЛЬНИКА;
3;1871 г.;1871;М. В. Д. НАЧАЛЬНИКА;
4;1871 г.;1871;4 Народонаселение;
5;1870 г.;1870;4 Народонаселение;
6;1865 г.;1865;4 Народонаселение;
7;1870 г.;1870;5 Все меры, какими только могла располагать администрация, были принимаемы противу заразы, но они не;
8;1871 г.;1871;5 Все меры, какими только могла располагать администрация, были принимаемы противу заразы, но они не;
9;1871 г.;1871;8 ОБЗОР ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА 1871 ГОД I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕ;
10;1 января 1872 г.;1872-01-01;9 Последнее обстоятельство не требовало со стороны администрации принятия каких бы то ни было мер, п;
11;1870 г.;1870;11 для переработки местных произведений, именно — винокуренное, кожевенное и салотопенное производст;
12;1871 г.;1871;11 для переработки местных произведений, именно — винокуренное, кожевенное и салотопенное производст;
13;1871 г.;1871;13 В;
14;1870 г.;1870;15 Процент смертности весьма незначительный, что нужно объяснить хорошим помещением рабочих, достато;
15;1871 г.;1871;16 благополучно, под присмотром горной полиции и особо командированных лиц. С окончанием летних рабо;
16;1870 г.;1870;16 благополучно, под присмотром горной полиции и особо командированных лиц. С окончанием летних рабо;
17;1870 г.;1870;17 того, крестьяне, не имея нужды торопиться окончанием сделок, более выгодно продавали свои произве;
18;1871 г.;1871;17 того, крестьяне, не имея нужды торопиться окончанием сделок, более выгодно продавали свои произве;
19;1871 г.;1871;20 II. ПОДАТИ И НЕДОИМКИ А. Окладные сборы В;
20;1 Января 1872 г.;1872-01-01;20 II. ПОДАТИ И НЕДОИМКИ А. Окладные сборы В;
21;1871 г.;1871;20 II. ПОДАТИ И НЕДОИМКИ А. Окладные сборы В;
22;1 января 1872 г.;1872-01-01;22 Затем к;
23;1870 г.;1870;22 Затем к;
24;1 января 1872 г.;1872-01-01;23 происходит такая же сложная и продолжительная переписка, причем, как в том, так и в другом случае;
25;1 января 1872 г.;1872-01-01;24 Большая часть недоимки лежит на ссыльнопоселенцах и на крестьянах из поселенцев, о чем подробно б;
26;1872 г.;1872;25 Недоимки к;
27;1870 г.;1870;25 Недоимки к;
28;1863 г.;1863;25 Недоимки к;
29;1871 г.;1871;25 Недоимки к;
30;1867 г.;1867;25 Недоимки к;
31;1871 г.;1871;25 Недоимки к;
32;1863 г.;1863;26;
33;1871 г.;1871;26;
34;1870 г.;1870;26;
35;1871 г.;1871;27 Со стороны земских властей слышатся постоянные жалобы на увеличивающееся пьянство в народе. Распр;
36;1871 г.;1871;27 Со стороны земских властей слышатся постоянные жалобы на увеличивающееся пьянство в народе. Распр;
37;1870 г.;1870;31 Бывший в;
38;1871 г.;1871;31 Бывший в;
