Название округа и категория земель,Посеяно Озимого,Посеяно Ярового,Посеяно Картофеля,Снято Озимого,Снято Ярового,Снято Картофеля
1. Красноярский:,,,,,,
На землях крестьян и инородц.,5395,105654,1471,54410,619160,24169
городских,—,500,25,—,4500,250
Итого,5395,106154,1496,54410,623660,24419
2. Енисейский,9364,27179,1989,50838,138984,11658
На землях крестьян и инородц.,—,—,—,—,—,—
городских,—,—,—,—,—,—
Итого,9364,27179,1989,50838,138984,11658
3. Канский,21426,54856,6412,163524,271475,51532
На землях крестьян и инородц.,40,400,20,400,3600,200
городских,—,—,—,—,—,—
Итого,21466,55256,6432,163924,275075,51732
4. Ачинский,17349,55626,3256,103658,238511,22218
На землях крестьян и инородц.,50,180,70,400,1800,840
городских,—,—,—,—,—,—
Итого,17399,55806,3326,104058,240311,23058
5. Минусинский,7527,98816,4000,45017,448155,26879
На землях крестьян и инородц.,—,1848,96,—,8452,800
городских,—,—,—,—,—,—
Итого,7527,100664,4096,45017,456607,27679
Всего по губернии,61151,345059,17339,418247,1734637,138546
