Род фабрик и заводов,Округ Канский - Число фабрик,Округ Канский - Сумма производства (руб.),Округ Канский - Число рабочих,Город Ачинск - Число фабрик,Город Ачинск - Сумма производства (руб.),Город Ачинск - Число рабочих,Округ Ачинский - Число фабрик,Округ Ачинский - Сумма производства (руб.),Округ Ачинский - Число рабочих,Город Минусинск - Число фабрик,Город Минусинск - Сумма производства (руб.),Город Минусинск - Число рабочих,Округ Минусинский - Число фабрик,Округ Минусинский - Сумма производства (руб.),Округ Минусинский - Число рабочих,Всего в губернии - Число фабрик,Всего в губернии - Сумма производства (руб.),Всего в губернии - Число рабочих
I. Заводы и фабрики обделывающие животные продукты,,,,,,,,,,,,,,,,,,
Салотопенные,—,—,—,1,3850,2,—,—,—,4,400,8,—,—,—,10,17150,24
Мыловаренные,—,—,—,1,1500,2,—,—,—,—,—,—,—,—,—,3,2800,5
Кожевенные,—,—,—,2,3300,24,5,5470.50,11,3,2000,7,12,39965.00,54,36,79146.50,135
Воскобелильные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,24940.00,6
II. Обделывающие растительные продукты,,,,,,,,,,,,,,,,,,
Бумажные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,0.00,0
Стеклоделательные,—,—,—,—,—,—,—,—,—,—,—,—,1,1139.00,16,2,3139.00,43
Маслобойные,—,—,—,1,2000,2,2,370.00,3,—,—,—,—,—,—,6,3545.00,9
Канатные,—,—,—,—,—,—,1,155.00,3,—,—,—,—,—,—,6,3655.00,13
Винокуренные,4,381275.37,241,—,—,—,3,208573.31,261,—,—,—,4,139986.3725,160,16,898121.125,690
Пивоваренные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,2500.00,2
III. Обделывающие ископаемые продукты,,,,,,,,,,,,,,,,,,
Железно-делательные и чугунно-литейные,3,0.00,0,—,—,—,—,—,—,—,—,—,1,308845.00,700,4,308845.00,700
Кирпичные,—,—,—,2,400,7,3,210.00,3,4,1600,9,—,—,—,21,13210.00,69
Гончарные,—,—,—,2,200,3,6,435.00,7,—,—,—,—,—,—,13,1705.00,19
Солеваренные,1,93715,211,—,—,—,—,—,—,—,—,—,—,—,—,1,93715.00,211
IV. Смешанных производств,,,,,,,,,,,,,,,,,,
Папиросные,—,—,—,2,2000,5,—,—,—,—,—,—,—,—,—,11,24800.00,33
Экипажные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6,12200.00,43
Итого,8,474990.54,452,11,13250,45,20,215213.81,288,11,4000,24,18,489935.3725,930,139,148947.7225,2002
