Законно - Муж.,Законно - Жен.,Законно - Об. п.,Незаконно - Муж.,Незаконно - Жен.,Незаконно - Об. п.,Всего - Муж.,Всего - Жен.,Всего - Об. п.,Умершие - Муж.,Умершие - Жен.,Умершие - Об. п.,Прибыль или убыль
191,160,351,40,31,71,231,191,422,440,254,694,-272
1204,1229,2433,150,115,265,1354,1344,2698,1247,1014,2261,437
78,63,141,12,3,15,90,66,156,128,66,194,-38
1331,1303,2634,156,145,301,1487,1448,2935,1128,915,2043,892
119,157,276,34,31,65,153,188,341,278,165,443,-102
1072,980,2052,135,110,245,1207,1090,2297,1024,765,1789,508
3,3,6,—,—,—,3,3,6,4,2,6,0
127,133,260,11,10,21,138,143,281,36,41,77,204
69,52,121,6,8,14,75,60,135,95,54,149,-14
1665,1569,3234,111,113,224,1776,1682,3458,1123,971,2094,1364
99,107,206,15,9,24,114,116,230,135,108,243,-13
2545,2499,5044,129,106,235,2674,2605,5279,1596,1301,2897,2382
559,542,1101,107,82,189,666,624,1290,1080,649,1729,-439
7944,7713,15657,692,599,1291,8636,8312,16948,6154,5007,11161,5787
8503,8255,16758,799,681,1480,9302,8936,18238,7234,5656,12890,5348
