Вид сборов и плательщики,Следовало поступить - Недоимок (руб.),Следовало поступить - Оклада (руб.),Вновь недоимок (руб.)
I. Подати и окладные платежи:,,,
1. Оборочной подати и доп. сбора. С гос. крестьян.,131462.3475,255828.00,3968.275
— поселенцев полного оклада.,58429.415,16218.00,64875.2275
— поселенцев половинного оклада.,26924.085,9616.00,11596.33
— купцов и мещан живущих в селениях.,105.98,82.00,—
— оседлых инородцев.,—,4419.00,484.5775
Итого оборотной подати,216921.8275,286164.00,10924.41
2. Подушной подати. а. С гос. крестьян.,45358.71,84031.00,325.55
б. — бывших помещичьих крестьян,79.815,—,—
в. — поселенцев полного оклада.,17646.145,5327.00,4972.9975
г. — поселенцев половинного оклада.,7187.325,3147.00,3833.9125
д. — купцов и мещан живущих в селениях.,37.80,27.00,—
е. — крестьян вышедших из крепостной зав.,4.50,9.00,—
ж. — оседлых инородцев.,122.85,1451.00,—
з. — городских обывателей с мещан.,21211.575,17445.00,191.00
Итого подушной подати,91648.7275,111438.00,9323.45
Подать 44 коп. с кочевых инородцев,—,—,—
Однорублевая с бывших помещ. крестьян,8.00,—,—
Половинно-оборочная подать с переселенцев,1095.3475,858.00,256.405
3. Общественного сбора. С гос. крестьян.,2497.545,5566.00,20.44
— прочих податных сословий,106.155,500.00,—
4. Сбора на продовольствие. С гос. крестьян.,1703.3575,—,1.705
— прочих податных сословий,1524.70,—,222.3175
На межевание земель. С гос. крестьян.,1347.675,2783.00,11.255
— прочих податных сословий,45.625,253.00,—
На пожарные случаи. С гос. крестьян.,1832.9575,3710.80,14.14
— прочих податных сословий,131.295,117.96,—
Экономической суммы. С поселенцев,9657.3575,1936.75,2100.475
5. Земских сборов. На гос. повинности:,,
а. с торговых свидетельств,—,2823.25,—
б. — податных лиц,60083.0875,79239.22,5526.1275
На губернские повинности:,,
а. с торговых свидетельств,—,1972.80,—
б. — податных лиц,83315.8875,107961.44,6540.4275
На содержание сел. врачебной части. С податных,5908.105,9638.24,255.05
Итого I раздела,477827.6075,614971.665,55196.4425
II. Других разных взысканий:,,,
Мин. гос. имуществ.,15970.88,—,10118.075
Мин. финансов. Деп. гос. казначейства.,130082.88,—,21642.0575
— неокладных сборов.,52398.3475,—,14341.5675
— горного.,—,—,22.50
По кредитной части,200847.8275,—,14600.18
Итого II раздела,399299.9475,—,60724.3875
Взыскания на ответственности губ. начальства:,,,
Мин. гос. имуществ.,15970.88,—,6068.155
Мин. финансов. Деп. гос. казначейства.,130082.8275,—,21642.0575
— неокладных сборов.,23746.73,—,14341.5675
— горного.,—,—,—
По кредитной части,99406.83,—,—
Итого взысканий,269207.265,—,42051.74
