Причислено оклада (руб.),Исключено недоимок (руб.),Исключено оклада (руб.),Взыскано недоимок (руб.),Взыскано оклада (руб.),Осталось недоимок (руб.),Осталось оклада (руб.),Осталось всего (руб.)
21328.47,11432.065,8260.1875,40933.415,210450.2075,83065.1375,58446.405,141511.5425
3713.655,11048.975,3010.545,2211.405,3334.56,60044.255,13586.5875,73630.8425
5498.375,12431.385,4072.225,3118.88,2972.375,22970.155,8070.8875,31041.04
2.74,2.515,8.195,8.22,37.1075,95.255,39.735,134.99
8.22,5.48,27.385,126.325,3864.935,352.705,535.52,888.225
30551.4575,34920.42,15378.5325,46398.25,220658.75,166527.5775,80679.1275,247206.6975
1407.15,1772.885,2002.835,15527.725,670.00,28383.655,16424.7625,44808.4175
79.815,—,—,—,—,79.815,—,79.815
1224.615,4381.565,1015.35,822.80,1145.18,17414.775,4391.17,21805.945
1776.15,3749.66,1320.56,1141.28,1220.18,6130.28,2382.125,8512.405
—,90.90,2.70,2.70,12.15,34.20,13.05,47.25
—,—,4.50,4.50,4.50,4.50,4.50,9.00
62.10,1.80,5.05,15.75,1392.525,105.30,117.225,222.525
526.00,1408.91,366.4475,6284.95,8318.675,13708.71,98.48,13807.19
4996.91,11315.72,4711.94,23799.71,79104.5575,95856.7475,32619.3175,98476.06
1950.08,—,—,—,1924.69,25.39,—,25.39
8.935,—,157.775,110.485,45.25,1241.26,664.58,1905.84
93.64,122.505,232.685,455.175,4295.545,1940.215,1131.61,3071.825
—,5.505,1.11,12.48,495.39,88.80,8.09,96.89
—,8.59,—,313.735,—,—,1382.735,—,1382.735
—,356.6075,—,101.0975,—,—,1289.3175,—,1289.3175
46.815,57.905,80.165,221.415,2200.825,1079.605,549.6625,1629.27
—,—,81.58,10.10,247.675,44.01,4.96,48.97
62.40,83.805,85.36,126.86,2977.72,1636.435,710.125,2346.555
—,1.86,2.46,24.675,63.79,105.90,51.905,156.91
790.1975,2270.275,604.415,500.415,443.0975,8987.14,1679.3875,10666.5275
2184.50,—,2823.25,—,2184.50,—,—,—
2550.4075,6282.06,9209.27,9202.92,51380.4075,50124.22,21206.8075,71373.11
1443.30,—,1972.80,—,1443.30,—,—,—
3442.6175,7803.8475,5426.92,16701.775,76698.92,65350.6975,29279.135,94629.8275
435.6075,351.525,2873.34,1246.89,4175.6075,4565.2075,3024.8625,7590.135
48566.4175,63581.14,43559.75,99216.69,448339.4525,370226.2975,171638.8775,531865.1725
—,2787.64,—,4871.55,—,18429.70,—,18429.70
—,6572.9625,—,7137.1125,—,138014.9075,—,138014.9075
—,12369.87,—,9868.175,—,44501.8675,—,44501.8675
—,—,—,22.50,—,22.50,—,22.50
—,9.16,—,105.84,—,215333.71,—,215333.71
—,21739.6375,—,21982.58,—,416302.115,—,416302.115
—,2787.64,—,4871.55,—,14379.84,—,14379.84
—,6572.9625,—,7137.1125,—,138014.9075,—,138014.9075
—,12369.87,—,9868.175,—,15850.25,—,15850.25
—,—,—,—,—,—,—,—
—,9.83,—,—,—,99406.83,—,99406.83
—,21730.4775,—,21876.74,—,267651.825,—,267651.825
