По сбору на продовольствие (руб.),По земским сборам (руб.),По выкупным платежам (руб.),По налогу с недвиж. имуществ (руб.),По рассрочке недоимок (руб.),По разным взысканиям (руб.),Всего недоимок (руб.)
—,4325.5175,—,—,—,—,10600.825
49.895,3460.015,—,—,—,—,8372.015
—,727.025,—,—,—,—,3417.7375
—,1121.7925,—,—,—,—,6912.7225
—,289.6975,—,—,—,—,3665.8325
591.0575,42722.61,—,—,—,—,147805.8925
351.525,12625.7375,—,—,—,—,40028.8025
928.385,30453.385,—,—,—,—,113110.0125
455.96,38903.4725,—,—,—,—,111857.65
295.23,31333.665,—,—,—,—,96093.67
