Статья и состав преступления,Всего преступлений (Ж.),Дворян потомственных (М.)
Об отступлении от веры и постановлений церкви,15,—
О святотатстве,—,—
О самовольном присвоении власти,2,—
О похищении бумаг или вещей из присутственных мест,—,—
О побеге находящихся под стражею,—,—
О преступлениях и проступках по службе,—,1
О нарушении уставов монетных,3,—
О нарушении постановлений по питейному сбору,—,—
О преступлениях против постановлений ограждающих народное здравие,—,—
О распространении вредных слухов,—,—
О возбуждении к противозаконным искам,—,—
О бродяжестве,—,—
О противозаконном выделывании и хранении оружия,—,—
О преступлениях против общественной нравственности,1,—
О нарушении правил осторожности от пожаров,1,—
О смертоубийстве,22,—
О самоубийстве,—,—
О нанесении увечья ран и других повреждений,6,—
О произвольном оставлении человека в опасности,1,—
О преступлениях против чести и целомудрия женщин,—,—
О личных оскорблениях,2,—
О противозаконном задержании и заключении,—,—
О нападении с насилием,1,—
Об угрозах,—,—
О преступлениях против союза брачного,3,—
О преступлениях детей против родителей,—,—
О насильственном завладении чужим недвижимым имуществом,—,—
О зажигательстве,2,—
О разбое,—,—
О грабеже,1,—
О воровстве-краже,16,—
О воровстве-мошенничестве,—,—
О присвоении вверенного чужого движимого имущества,—,—
О преступлениях по договорам,1,—
По происшествиям нечаянным,—,—
Итого,77,1
