Дворян личных (М),Дворян личных (Ж),Почетных граждан (М),Почетных граждан (Ж),Мещан (М),Мещан (Ж),Крестьян (М),Крестьян (Ж),Военного сословия (М),Военного сословия (Ж),Инородцев (М),Инородцев (Ж),Поселенцев (М),Поселенцев (Ж),Ссыльно-каторжных (М),Ссыльно-каторжных (Ж),Возраст 17- (М),Возраст 17- (Ж),Возраст 17-20 (М),Возраст 17-20 (Ж),Возраст 21-30 (М),Возраст 21-30 (Ж),Возраст 31-40 (М),Возраст 31-40 (Ж),Возраст 41-50 (М),Возраст 41-50 (Ж),Возраст 51-60 (М),Возраст 51-60 (Ж),Возраст Свыше 60 (М),Возраст Свыше 60 (Ж)
—,—,—,—,—,1,18,14,1,—,—,—,1,—,—,—,—,2,3,2,8,4,5,4,3,2,—,1,—,—
1,—,1,—,1,—,2,1,—,—,—,—,—,—,—,—,—,1,2,1,1,1,1,—,1,—,1,—,—,—
1,—,—,—,1,—,2,2,—,—,1,—,3,—,—,—,—,—,1,—,1,—,2,—,3,—,—,—,—,—
8,—,1,—,21,—,5,—,—,—,—,—,1,—,—,—,—,—,—,—,11,—,16,—,5,—,4,—,1,—
—,—,5,2,17,2,21,1,2,—,—,—,14,—,—,—,4,—,3,—,15,2,14,1,16,—,4,—,3,1
—,—,—,—,2,—,1,—,—,—,—,—,1,—,—,—,—,—,1,—,2,—,2,—,1,—,1,—,—,—
2,—,—,—,7,—,24,—,—,—,11,—,8,—,—,—,—,—,—,—,20,—,18,—,8,—,6,—,—,—
—,—,—,—,2,—,5,1,—,—,3,—,2,—,—,—,1,2,1,2,1,—,2,1,2,1,3,1,—,1,—
—,—,—,—,30,6,50,11,1,—,4,3,21,2,2,—,—,20,5,32,9,26,4,28,4,1,—,1,—
—,—,—,—,27,—,45,4,—,—,1,1,13,1,—,—,—,—,9,3,26,1,22,2,20,—,8,—,1,—
2,—,2,—,5,1,2,1,—,—,1,—,1,—,—,—,—,—,1,—,3,1,6,1,3,—,1,—,—,—
—,—,—,—,8,1,7,1,1,—,—,—,2,—,—,—,—,—,11,—,16,1,8,1,2,—,1,—,—,—
—,—,—,—,3,1,3,2,2,1,—,—,1,—,—,—,2,—,2,2,4,—,2,1,—,1,—,—,—,1
—,—,—,—,47,1,136,13,5,—,5,—,98,2,—,—,6,1,23,2,55,5,59,5,132,3,8,—,8,—
—,—,—,—,2,1,—,1,—,—,—,—,2,—,—,—,—,—,—,1,3,—,2,1,—,1,—,2,—,—
15,1,14,—,215,14,383,53,14,—,39,4,190,5,3,—,13,3,83,15,230,29,234,18,251,10,47,1,16,1
