Города и уезды,Зимние месяцы - Число пожаров,Зимние месяцы - Число погоревших дворов,Зимние месяцы - Сумма убытков (руб.),Весенние месяцы - Число пожаров,Весенние месяцы - Число погоревших дворов,Весенние месяцы - Сумма убытков (руб.)
В городе Красноярске,1,1,30.00,—,*,—
» Округе оного,8,11,1277.90,4,*,*39.00
» Городе Енисейске,—,—,—,—,*,—
» Округе оного,5,3,659.50,1,*,*50.00
» Городе Канске,—,—,—,—,*,—
» Округе оного,2,2,409.00,—,*,—
» Городе Ачинске,—,—,—,—,*,—
» Округе оного,1,—,45.00,1,*,*8.00
» Городе Минусинске,—,—,—,—,*,—
» Округе оного,8,4,6683.85,4,*,*6.80
Всего в губернии,25,21,9105.25,10,*,*3.80
