Летние месяцы - Число пожаров,Летние месяцы - Число погоревших дворов,Летние месяцы - Сумма убытков (руб.),Осенние месяцы - Число пожаров,Осенние месяцы - Число погоревших дворов,Осенние месяцы - Сумма убытков (руб.),Всего в году - Число пожаров,Всего в году - Число погоревших дворов,Всего в году - Сумма убытков (руб.),Причины - От молнии,Причины - От дурного устр. печей,Причины - От неосторожности,Причины - От поджога,Причины - От других причин
—,—,—,—,—,—,1,1,30.00,—,—,1,—,—
1,1,50.00,5,7,893.35,18,23,2360.25,—,3,14,1,—
1,1,1600.00,1,1,400.00,2,2,2000.00,—,—,1,1,—
—,—,—,8,4,975.00,14,8,1884.50,—,1,6,1,6
—,—,—,—,—,—,—,—,—,—,—,—,—,—
2,2,1550.00,2,2,1085.40,6,6,3044.40,—,—,4,2,—
2,—,100.00,2,—,155.00,4,—,255.00,—,—,1,—,3
1,—,200.00,5,4,1245.20,8,4,1578.20,—,1,5,—,2
—,—,—,—,—,—,—,—,—,—,—,—,—,—
4,3,1273.50,8,7,1338.99,24,19,10763.14,—,4,3,9,8
11,7,4773.50,31,25,6092.94,77,63,21915.49,—,9,35,14,19
