Города и округа,Детоубийство новорожденных,Смертоубийство,Итого случаев смертоубийства,Детоубийство - М.,Детоубийство - Ж.,*** - М.,*** - Ж.,Самоубийцы - М.,Самоубийцы - Ж.
В городе Красноярске,—,2,2,—,*,*,—,—,—
» Округе оного,1,32,33,—,*,*,15,4,—
» Городе Енисейске,—,6,6,—,*,*,—,—,—
» Округе оного,—,12,12,—,*,*,5,1,1
» Городе Канске,—,6,6,—,*,*,—,2,—
» Округе оного,1,30,31,1,*,*,4,4,1
» Городе Ачинске,—,—,—,—,*,*,—,—,—
» Округе оного,—,14,14,—,*,*,1,—,1
» Городе Минусинске,—,2,2,—,*,*,—,—,—
» Округе оного,—,7,7,—,*,*,1,2,1
Итого в губернии,2,111,113,1,*,*,26,13,4
