Скоропостижно: От болезней - М.,Скоропостижно: От болезней - Ж.,Скоропостижно: От пьянства - М.,Скоропостижно: От пьянства - Ж.,Скоропостижно: От неизвестных - М.,Скоропостижно: От неизвестных - Ж.,Скоропостижно: Итого - М.,Скоропостижно: Итого - Ж.,Найденные мертвые тела - М.,Найденные мертвые тела - Ж.,Случайная смерть: Громом - М.,Случайная смерть: Громом - Ж.,Случайная смерть: Задавлено/упало - М.,Случайная смерть: Задавлено/упало - Ж.,Случайная смерть: Сгорело на пожарах - М.,Случайная смерть: Сгорело на пожарах - Ж.,Случайная смерть: От угара - М.,Случайная смерть: От угара - Ж.,Случайная смерть: Замерзло - М.,Случайная смерть: Замерзло - Ж.,Случайная смерть: Утонуло - М.,Случайная смерть: Утонуло - Ж.,Случайная смерть: Укушено зверями - М.,Случайная смерть: Укушено зверями - Ж.,Случайная смерть: От других причин - М.,Случайная смерть: От других причин - Ж.,Всего умерло случайно - М.,Всего умерло случайно - Ж.,Всего умерло от насилия/случайности - М.,Всего умерло от насилия/случайности - Ж.
1,1,2,—,4,—,7,1,2,—,—,—,—,—,—,—,1,—,1,—,4,—,—,—,4,1,10,1,21,2
12,1,13,1,18,4,43,6,18,2,3,1,1,1,—,—,2,—,4,—,5,1,—,—,7,—,22,3,105,26
6,—,7,3,1,1,14,4,5,—,1,—,—,—,—,—,—,—,1,—,1,—,—,—,1,—,4,—,29,4
8,—,7,1,12,3,27,4,7,1,—,—,2,1,1,—,—,—,3,—,8,2,—,2,11,2,25,7,67,18
—,—,1,—,—,—,1,—,2,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,4,2,4,13,4
14,—,7,3,16,1,37,4,21,5,—,—,3,—,—,—,—,—,—,—,8,—,—,—,9,—,20,—,109,14
1,—,—,—,1,1,2,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,2,—,4,1
6,3,2,1,16,9,24,13,6,—,—,—,1,—,1,—,—,—,—,—,5,1,—,—,11,4,18,5,61,20
1,—,—,—,—,—,1,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,1,—,4,—
6,2,7,—,13,2,26,4,5,1,3,—,3,—,1,—,—,—,2,1,20,2,—,2,16,—,45,3,84,10
55,7,46,9,81,21,182,37,66,9,7,1,10,2,4,—,3,—,11,1,53,6,—,2,61,11,149,23,497,99
