Наименование фабрик и заводов;Г. Красноярск: Число;Г. Красноярск: Сумма;Г. Красноярск: Рабочие;Окр. Красноярский: Число;Окр. Красноярский: Сумма;Окр. Красноярский: Рабочие;Г. Енисейск: Число;Г. Енисейск: Сумма;Г. Енисейск: Рабочие;Окр. Енисейский: Число;Окр. Енисейский: Сумма;Окр. Енисейский: Рабочие
I. Обделывающие животные продукты:;;;;;;;;;;;;
Салотопенные;2;10000 (общая);9;-;-;-;1 (общая);600 (общая);2;-;-;-
Мыловаренные;2;—;—;-;-;-;—;—;—;-;-;-
Кожевенные;10;17650;28;-;-;-;5;14600;8;-;-;-
Воскобелильные;1;14600;2;-;-;-;1;5000;2;-;-;-
II. Обделывающие растительные продукты:;;;;;;;;;;;;
Лесопильные;-;-;-;-;-;-;1;-;-;-;-;-
Крупчатные;-;-;-;-;-;-;-;-;-;-;-;-
Стеклоделательные;-;-;-;1;2500;21;-;-;-;-;-;-
Маслобойные;-;-;-;2;470;4;-;-;-;-;-;-
Картофелепаточные;-;-;-;1;700;7;-;-;-;-;-;-
Канатные;-;-;-;-;-;-;3;680;3;-;-;-
Винокуренные;3;68000;9;-;-;-;3;158870;8;1;113459;51
Пивоваренные;2;10000;12;-;-;-;-;-;-;-;-;-
III. Обделывающие ископаемые продукты:;;;;;;;;;;;;
Железоделательные и чугунолитейные;-;-;-;-;-;-;-;-;-;-;-;-
Медноплавильные;-;-;-;-;-;-;-;-;-;-;-;-
Колокольные;1;700;1;-;-;-;-;-;-;-;-;-
Кирпичные;12;9000;101;-;-;-;8;2655;25;-;-;-
Гончарные;3;450;4;1;500;6;-;-;-;-;-;-
Солеваренные;-;-;-;-;-;-;-;-;-;-;-;-
IV. Смешанных продуктов:;;;;;;;;;;;;
Экипажные;2;7800;20;-;-;-;1;600;2;-;-;-
Спичечные;1;10000;25;-;-;-;-;-;-;-;-;-
Итого;39;148200;211;5;4170;38;23;183005;50;1;113459;51
