Наименование фабрик и заводов;Г. Канск: Число;Г. Канск: Сумма;Г. Канск: Рабочие;Окр. Канский: Число;Окр. Канский: Сумма;Окр. Канский: Рабочие;Г. Ачинск: Число;Г. Ачинск: Сумма;Г. Ачинск: Рабочие;Окр. Ачинский: Число;Окр. Ачинский: Сумма;Окр. Ачинский: Рабочие;Г. Минусинск: Число;Г. Минусинск: Сумма;Г. Минусинск: Рабочие;Окр. Минусинский: Число;Окр. Минусинский: Сумма;Окр. Минусинский: Рабочие;Всего в губернии: Число;Всего в губернии: Сумма;Всего в губернии: Рабочие
Салотопенные;1;5000;4;-;-;-;-;-;-;-;-;-;4;3500;3;-;-;-;{12;19600;20
Мыловаренные;1;10000;10;-;-;-;-;-;-;-;-;-;2;500;2;-;-;-;—;—;—
Кожевенные;1;10000;10;1;680;2;3;8200;6;6;6810;12;7;8000;9;10;19400;18;43;85340;93
Воскобелильные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;19600;4
Лесопильные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
Крупчатные;-;-;-;-;-;-;-;-;-;-;-;-;3;78146;49;-;-;-;3;78146;49
Стеклоделательные;-;-;-;-;-;-;-;-;-;-;-;-;1;18102;66;-;-;-;2;20602;87
Маслобойные;-;-;-;-;-;-;1;259;1;3;462;5;4;1800;4;-;-;-;10;2982;14
Картофелепаточные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;700;7
Канатные;-;-;-;-;-;-;-;-;-;2;1210;80;1;250;2;-;-;-;6;2140;85
Винокуренные;2;-;-;3;359916;102;3;3605;3;5;73275;46;3;-;-;3;569407;148;26;1346532;367
Пивоваренные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;10000;12
Железоделательные и чугунолитейные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;391854;631;1;391854;631
Медноплавильные;-;-;-;-;-;-;-;-;-;1;15079;109;-;-;-;-;-;-;1;15079;109
Колокольные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;700;1
Кирпичные;3;1450;7;-;-;-;2;240;4;3;198;3;4;500;4;-;-;-;32;14043;144
Гончарные;-;-;-;-;-;-;2;170;2;6;174;6;3;250;2;-;-;-;15;1544;20
Солеваренные;-;-;-;1;75000;74;-;-;-;-;-;-;-;-;-;2;21561;70;3;96561;144
Экипажные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8400;22
Спичечные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10000;25
Итого;7;16450;21;5;435596;178;11;12465;16;26;97208;261;28;14800;26;20;1098470;982;165;2123823;1834
