ГОРОДА И ОКРУГА;Число браков;Законно родившихся: муж.;Законно родившихся: жен.;Законно родившихся: обоего пола
В г. Красноярске;108;254;235;489
В г. Енисейске;65;110;128;238
В г. Канске;35;85;70;155
В г. Ачинске;18;58;52;110
В г. Минусинске;42;125;125;250
В г. Туруханске;2;20;16;36
Итого в городах;270;652;626;1278
В Красноярском округе;433;1215;1251;2466
В Енисейском округе;310;967;900;1867
В Канском округе;439;1365;1364;2729
В Ачинском округе;562;1785;1708;3493
В Минусинском округе;646;2445;2236;4681
В Туруханском округе;41;73;61;134
Итого в округах;2431;7850;7520;15370
Всего в губернии;2701;8502;8146;16648
