ГОРОДА И ОКРУГА;Незаконно родившихся: муж.;Незаконно родившихся: жен.;Незаконно родившихся: обоего пола;Всего родившихся: муж.;Всего родившихся: жен.;Всего родившихся: обоего пола;Умерших: муж.;Умерших: жен.;Умерших: обоего пола;Прибыль (+) или убыль (-)
В г. Красноярске;56;51;107;310;286;596;516;363;879;-283
В г. Енисейске;32;19;51;142;147;289;183;158;341;-52
В г. Канске;11;15;26;96;85;181;126;68;194;-13
В г. Ачинске;4;7;11;62;59;121;95;76;171;-50
В г. Минусинске;19;12;31;144;137;281;125;103;228;+53
В г. Туруханске;-;1;1;20;17;37;4;1;5;+32
Итого в городах;122;105;227;774;731;1505;1049;769;1818;-313
В Красноярском округе;131;129;260;1346;1380;2726;1494;1361;2855;-129
В Енисейском округе;137;134;271;1104;1034;2138;964;790;1754;+384
В Канском округе;170;156;326;1535;1520;3055;1175;998;2173;+882
В Ачинском округе;146;125;271;1931;1833;3764;1346;1154;2500;+1264
В Минусинском округе;244;217;461;2689;2453;5142;1833;1468;3301;+1841
В Туруханском округе;7;11;18;80;72;152;55;39;94;+58
Итого в округах;835;772;1607;8685;8292;16977;6867;5810;12677;+4300
Всего в губернии;957;877;1834;9459;9023;18482;7916;6579;14495;+3987
