РОДЫ ПОДАТЕЙ;Следовало поступить: Недоимок руб.;Следовало поступить: Недоимок коп.;Следовало поступить: Оклада руб.;Следовало поступить: Оклада коп.;Вновь причислено: Недоимок руб.;Вновь причислено: Недоимок коп.;Вновь причислено: Оклада руб.;Вновь причислено: Оклада коп.
ПОДАТИ И ОКЛАДНЫЕ ПЛАТЕЖИ;;;;;;;;
I. Оброчной подати и дополнительного к ней сбора;;;;;;;;
1. С государственных крестьян всех наименований;123967;96 3/4;262094;70;5880;3/4;4085;86
2. С поселенцев полного оклада;97803;14 1/2;21785;74;6327;44 1/2;3291;6
3. С поселенцев половинного оклада;60545;19 3/4;20070;85;3170;44 1/2;2038;28 3/4
4. С купцов и мещан, живущих в селениях;151;6 1/2;65;76;-;5;-;2
5. С оседлых инородцев;86;68 3/4;4408;66;8;22 1/2;27;41
6. С переселенцев;4546;47;272;25;698;60 1/2;110;42 1/2
II. Подушной подати с сословий, состоящих на общих окладах;;;;;;;;
1. С государственных крестьян всех наименований;40934;17 3/4;86089;50;984;8 3/4;1350;66
2. С бывших помещичьих крестьян;79;81 1/2;-;-;9;-;-;-
3. С крестьян, вышедших из крепостной зависимости;-;-;-;-;-;-;-;-
4. С крестьян из казаков;59;84 1/2;163;36;2;80 1/2;-;90
5. С поселенцев полного оклада;27246;76 1/4;7155;90;2116;4;1060;44 1/2
6. С поселенцев половинного оклада;16835;71 3/4;6568;65;1214;4 3/4;670;57
7. С купцов и мещан, живущих в селениях;57;60;21;60;-;-;-;-
8. С оседлых инородцев;91;35;1448;10;2;70;9;-
9. С мещан и цеховых;13515;96 1/2;1965;60;117;40 1/2;403;2
Итого;385921;76;412110;6 1/2;20530;86 1/2;13047;83 1/2
III. Податей с сословий, состоящих на особых окладах;;;;;;;;
1. С кочевых и бродячих инородцев;164;12 1/2;1579;66 1/2;-;-;-;-
Итого;386085;88 1/2;413690;33 1/2;20530;86 1/2;13047;83 1/2
IV. Подушного сбора взамен отмененной государственной земской повинности;;;;;;;;
1. С государственных крестьян всех наименований;21544;86 1/2;39053;88;650;20 1/2;1232;95
2. С бывших помещичьих крестьян;102;55 1/2;-;-;9;-;-;-
3. С поселенцев полного оклада;24827;26 1/2;3279;91;1117;20;576;76
4. С купцов и мещан, живущих в селениях;65;58 1/2;8;49;-;1/2;-;-
5. С оседлых инородцев;66;14;632;10;1;62;33;34
6. С кочевых и кочующих инородцев;228;42 1/2;1895;30;-;10 1/2;-;-
7. С мещан;6484;73 1/2;4319;61;38;81 1/2;144;72
V. Налога с недвижимых имуществ в городах, посадах и местечках;7233;40;-;-;7063;70 1/2;-;-
VI. Общественного сбора (мирского капитала);;;;;;;;
1. С государственных крестьян всех наименований;2520;53 1/2;5705;4;55;19 1/2;125;67 1/2
2. С прочих податных лиц;11;72;506;34;18;-;18;60
VII. Сбор на обеспечение народного продовольствия;;;;;;;;
1. С государственных крестьян всех наименований;949;88 1/2;-;-;38;13 1/2;-;-
2. С прочих податных лиц;1101;11 1/2;-;-;6;25 1/2;-;-
VIII. За прописку по ревизии душ и неподачу в срок ревизских сказок;1;80;-;-;-;-;-;-
