РОДЫ ПОДАТЕЙ,Следовало поступить - Недоимок - руб.,Следовало поступить - Недоимок - коп.,Следовало поступить - Оклада - руб.,Следовало поступить - Оклада - коп.,Вновь причислено - Недоимок - руб.,Вновь причислено - Недоимок - коп.,Вновь причислено - Оклада - руб.,Вновь причислено - Оклада - коп.
IX. Сбора на межевание земель - 1. С государственных крестьян всех наименований,1906,49,2852,52,26,98 3/4,64,15 3/4
2. С прочих податных сословий,7,21 1/4,253,17,—,10,—,31 1/4
X. Сбора на пожарные случаи - 1. С государственных крестьян всех наименований,2445,92,3803,36,116,34,124,37
2. С прочих податных лиц,192,85 1/4,73,24,42,34,3,72
XI. Сбора экономической суммы - 1. С поселенцев полного и половинного оклада,1502,91 1/4,3382,20,731,14 1/4,396,58 3/4
XII. Добавочный казенный сбор с торговых свидетельств первой и второй гильдии,—,—,10280,—,—,—,4144,50
XIII. Земских сборов - На губернские повинности - 1. С торговых свидетельств,—,—,—,—,—,—,—,—
2. С податных лиц,102269,81 1/4,123666,83,3775,63,3545,12 3/4
XIV. На частные повинности 42 1/4 коп. подать - 1. С податных лиц,33899,60 3/4,47095,7,1569,13 1/4,1154,84 3/4
Итого,*21052,81 1/2,246807,6,15242,9 1/2,11487,66 1/2
XV. Однорублевого сбора с бывших помещичьих крестьян,3,50,—,—,—,—,—,—
Всего,607152,20 3/4,660497,39 1/4,35772,96,24535,50 3/4
ДРУГИХ НАИМЕНОВАНИЙ - По ведомствам - Министерства государственных имуществ,11054,91 1/4,—,—,5975,79,—,—
Министерства финансов - Департамента государственного казначейства,197677,57 1/4,—,—,23625,76 1/4,—,—
Департамента неокладных сборов,55304,70 1/4,—,—,11243,72 1/4,—,—
Департамента горного,35641,1,—,—,3517,76,—,—
Департамента торговли и мануфактур,4394,50 1/4,—,—,1439,75,—,—
Министерства военного,1325,—,—,—,—,—,—
Министерства внутренних дел,394,29 1/4,—,—,632,17 1/4,—,—
Министерства юстиции,56,96,—,—,256,46,—,—
По кредитной части,193419,89,—,—,4599,43 1/4,—,—
Итого,499268,85,—,—,51281,86,—,—
В СЕМ ЧИСЛЕ ВЗЫСКАНИЙ НА ОТВЕТСТВЕННОСТИ ГУБЕРНСКОГО НАЧАЛЬСТВА - По ведомствам - Министерства государственных имуществ,11054,91 1/4,11054,91 1/4,5975,79,—,—
Министерства финансов - Департамента государственного казначейства,197677,57 1/4,197677,57 1/4,23625,76 1/4,—,—
Департамента неокладных сборов,55304,70 1/4,55304,70 1/4,11243,72 1/4,—,—
Департамента горного,35641,1,35641,1,3517,76,—,—
Департамента торговли и мануфактур,4394,50 1/4,4394,50 1/4,1430,75,—,—
Министерства внутренних дел,394,29 1/4,394,29 1/4,632,17 1/4,—,—
Министерства юстиции,56,96,56,96,256,46,—,—
По кредитной части,93682,46 1/4,93682,46 1/4,4599,43 1/4,—,—
Итого,398206,42 1/2,398206,42 1/2,5128*,86,—,—
