Исключено - Недоимок - руб.,Исключено - Недоимок - коп.,Исключено - Оклада - руб.,Исключено - Оклада - коп.,Взыскано - Недоимок - руб.,Взыскано - Недоимок - коп.,Взыскано - Оклада - руб.,Взыскано - Оклада - коп.,Осталось к 1 января 1877 г. - Недоимок - руб.,Осталось к 1 января 1877 г. - Недоимок - коп.,Осталось к 1 января 1877 г. - Оклада - руб.,Осталось к 1 января 1877 г. - Оклада - коп.,Осталось к 1 января 1877 г. - ВСЕГО - руб.,Осталось к 1 января 1877 г. - ВСЕГО - коп.
290,60 1/2,93,86 1/2,94,77,2104,5,1548,9 1/2,718,76 1/2,2266,86 1/2
—,—,3,69,2,30 1/2,248,57 1/2,5,1,1,22,6,23
390,46 1/2,72,74,200,39,2948,30,1971,40 1/2,906,66,2878,6 1/2
9,75 1/2,8,66,15,91,64,64,209,53,3,66,213,19
3242,49 1/2,655,89 1/2,711,37 1/2,844,40 1/2,11980,19,2278,48 1/2,14258,67 1/2
—,—,10280,—,—,—,4*44,50,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—
19600,85,4016,12,12737,12,101315,16 1/2,73707,47 1/2,21880,67 1/2,95588,15
5590,44 1/2,2678,20 1/2,7977,23,34282,25,21901,6 1/2,11289,46 1/2,33190,52 1/2
43003,42,21332,17 1/2,34292,36,188806,32 1/2,159009,13,48156,22 1/2,207165,35 1/2
—,—,—,—,—,—,—,—,3,50,—,—,3,50
135064,66,39187,44 1/2,80982,1 1/2,520139,17 1/2,426878,37 1/2,125706,27 1/2,552584,65
1168,69 1/2,—,—,3256,76 1/2,—,—,12610,24 1/2,—,—,12610,24 1/2
32411,93 1/2,—,—,4520,94,—,—,184370,46 1/2,—,—,184370,46 1/2
3556,92 1/2,—,—,2607,97 1/2,—,—,60383,53,—,—,60383,53
1798,82 1/2,—,—,1881,68,—,—,35478,26 1/2,—,—,35478,26 1/2
212,—,—,—,1154,75,—,—,4458,50 1/2,—,—,4458,50 1/2
—,—,—,—,—,—,—,—,1325,—,—,—,1325,—
55,5,—,—,635,66,—,—,334,75 1/2,—,—,334,75 1/2
34,78,—,—,255,84,—,—,22,80,—,—,22,80
130699,1 1/2,—,—,1858,49,—,—,65461,82 1/2,—,—,65461,82 1/2
169932,22 1/2,—,—,16173,10,—,—,364445,38 1/2,—,—,364445,38 1/2
1168,69 1/2,—,—,3256,76 1/2,—,—,12610,24 1/2,—,—,12610,24 1/2
32411,93 1/2,—,—,4520,94,—,—,184370,46 1/2,—,—,184370,46 1/2
3556,92 1/2,—,—,2607,97 1/2,—,—,60383,53,—,—,60383,53
1798,82 1/2,—,—,1881,68,—,—,35478,26 1/2,—,—,35478,26 1/2
212,—,—,—,1154,75,—,—,4458,50 1/2,—,—,4458,50 1/2
55,5,—,—,635,66,—,—,334,75 1/2,—,—,334,75 1/2
34,78,—,—,255,84,—,—,22,80,—,—,22,80
30961,58 1/2,—,—,1858,49,—,—,65461,82 1/2,—,—,65461,82 1/2
70194,79 1/2,—,—,16173,10,—,—,363120,38 1/2,—,—,363120,38 1/2
