Территория,По оброчным податям - руб.,По оброчным податям - коп.,По подушной подати - руб.,По подушной подати - коп.,По податям других наименований - руб.,По податям других наименований - коп.,По общественным сборам - руб.,По общественным сборам - коп.
Г. Красноярск,—,—,3770,89 1/2,—,—,—,—
Енисейск,—,—,5370,62,—,—,—,—
Канск,—,—,309,55,—,—,—,—
Ачинск,—,—,8378,13,—,—,—,—
Минусинск,—,—,1186,24,—,—,—,—
Красноярский уезд,67230,2,25257,88 1/2,6519,79 1/2,951,76 1/2
Енисейский,22798,32 1/2,8543,13 1/2,1314,70 1/2,147,68
Канский,51051,18,18174,92,4038,10,291,32
Ачинский,81624,38,33741,17,5694,68,1122,92
Минусинский,39141,7,24146,49,2057,54,248,25
