По сборам народного продовольствия - руб.,По сборам народного продовольствия - коп.,По земским сборам - руб.,По земским сборам - коп.,По налогу с недвижимых имуществ - руб.,По налогу с недвижимых имуществ - коп.,По выкупным платежам - руб.,По выкупным платежам - коп.,По рассрочке недоимок - руб.,По рассрочке недоимок - коп.,По разным взысканиям - руб.,По разным взысканиям - коп.,ВСЕГО - руб.,ВСЕГО - коп.
—,—,6801,60 1/2,1568,58 1/2,—,—,—,—,—,—,1214*,8 1/2
49,89 1/2,151,39 1/2,—,—,—,—,—,—,—,—,5571,91
—,—,277,63,5432,22,—,—,—,—,—,—,6019,40
—,—,4812,62,2140,33,—,—,—,—,—,—,15331,8
—,—,2997,80,—,—,—,—,—,—,—,—,4184,4
207,59 1/2,31760,82 1/2,—,—,—,—,—,—,—,—,131927,88 1/2
211,1 1/2,7527,26 1/2,—,—,—,—,—,—,—,—,40542,12 1/2
350,34,17888,59,—,—,—,—,—,—,—,—,91794,45
494,5,40983,22,—,—,—,—,—,—,—,—,163660,42
241,18,15577,73,—,—,—,—,—,—,—,—,81412,26
