РОДЫ ПОДАТЕЙ,Следовало поступить - Недоимок - руб.,Следовало поступить - Недоимок - коп.,Следовало поступить - Оклада - руб.,Следовало поступить - Оклада - коп.
ПОДАТИ И ОКЛАДНЫЕ ПЛАТЕЖИ - I. Оброчной подати и дополнительного к ней сбора - 1. С государственных крестьян всех наименований,123967,95 3/4,262094,70
2. С поселенцев полного оклада,97803,14 1/4,21785,74
3. С поселенцев половинного оклада,60545,19 3/4,20070,85
4. С купцов и мещан живущих в селениях,151,6 1/4,65,76
5. С оседлых инородцев,86,68 1/4,4408,66
6. С переселенцев,4546,47,272,25
II. Подушной подати с сословий состоящих на общих окладах - 1. С государственных крестьян всех наименований,40834,17 3/4,86089,50
2. С бывших помещичьих крестьян,79,81 1/4,—,—
3. С крестьян вышедших из крепостной зависимости,—,—,—,—
4. С крестьян из казаков,59,84 1/4,163,36
5. С поселенцев полного оклада,27246,76 3/4,7155,90
6. С поселенцев половинного оклада,16835,71 3/4,6568,65
7. С купцов и мещан живущих в селениях,57,60,21,60
8. С оседлых инородцев,91,35,1448,10
9. С мещан и цеховых,13515,95 3/4,1965,60
Итого,385921,76,412110,6 1/4
III. Податей с сословий состоящих на особых окладах - 1. С кочевых и бродячих инородцев,164,12 1/4,1579,66 3/4
Итого,386085,88 3/4,413690,33 3/4
IV. Подушного сбора взамен отмененной государственной земской повинности - 1. С государственных крестьян всех наименований,21544,86 3/4,39053,88
2. С бывших помещичьих крестьян,102,55 1/2,—,—
3. С поселенцев полного оклада,24827,26 3/4,3279,91
4. С купцов и мещан живущих в селениях,65,58 3/4,8,49
5. С оседлых инородцев,66,14,632,10
6. С кочевых инородцев,228,42 1/4,1893,30
7. С мещан,6484,73 3/4,4319,61
V. Налога с недвижимых имуществ в городах посадах и местечках,7233,40,—,—
VI. Общественного сбора (мирского капитала) - 1. С государственных крестьян всех наименований,2520,53 1/4,5705,4
2. С прочих податных лиц,11,72,506,34
VII. Сбор на обеспечение народного продовольствия - 1. С государственных крестьян всех наименований,949,88 3/4,—,—
2. С прочих податных лиц,1101,11 1/4,—,—
VIII. За прописку по ревизским душам и неподачу в срок ревизских сказок,1,80,—,—
