РОДЫ ПОДАТЕЙ,Следовало поступить - Недоимок - руб.,Следовало поступить - Недоимок - коп.,Следовало поступить - Оклада - руб.,Следовало поступить - Оклада - коп.
IX. Сбора на межевание земель - 1. С государственных крестьян всех наименований,1906,49,2852,52
2. С прочих податных сословий,7,21 1/4,253,17
X. Сбора на пожарные случаи - 1. С государственных крестьян всех наименований,2445,92,3803,36
2. С прочих податных лиц,192,85 1/4,73,24
XI. Сбора экономической суммы - 1. С поселенцев полного и половинного оклада,1502,91 1/4,3382,20
XII. Добавочный казенный сбор с торговых свидетельств первой и второй гильдии,—,—,10280,—
XIII. Земских сборов - На губернские повинности - 1. С торговых свидетельств,—,—,—,—
2. С податных лиц,102269,81 1/4,123666,83
XIV. На частные повинности 42 1/4 коп. подать - 1. С податных лиц,33899,60 3/4,47095,7
Итого,*21052,81 1/2,246807,6
XV. Однорублевого сбора с бывших помещичьих крестьян,3,50,—,—
Всего,607152,20 3/4,660497,39 1/4
ДРУГИХ НАИМЕНОВАНИЙ - По ведомствам - Министерства государственных имуществ,11054,91 1/4,—,—
Министерства финансов - Департамента государственного казначейства,197677,57 1/4,—,—
Департамента неокладных сборов,55304,70 1/4,—,—
Департамента горного,35641,1,—,—
Департамента торговли и мануфактур,4394,50 1/4,—,—
