Наименование преступлений,Число преступлений и дел,Число осужденных - М.,Число осужденных - Ж.,В том числе - Дворян потомственных - М.,В том числе - Дворян потомственных - Ж.,В том числе - Дворян личных - М.,В том числе - Дворян личных - Ж.,В том числе - Почетных граждан и купцов - М.,В том числе - Почетных граждан и купцов - Ж.,В том числе - Духовного звания - М.,В том числе - Духовного звания - Ж.,В том числе - Мещан - М.,В том числе - Мещан - Ж.,В том числе - Крестьян - М.,В том числе - Крестьян - Ж.
Отделение IV - О преступлениях и проступках по службе государственной и общественной (уложение 1866 г. ст. 329 505 1098 1148),58,106,—,—,—,3,—,—,—,—,—,17,—,86,—
Отделение VI - О нарушении уставов монетных (уложение 1866 г. ст. 557 578),22,57,1,—,—,—,—,—,—,—,—,10,—,6,1
О нарушении уставов о соли (уложение 1866 г. ст. 623-665),4,18,—,—,—,—,—,—,—,—,—,3,—,15,—
О нарушении постановлений по питейному сбору и акцизу (уложение 1866 г. ст. 665 717),4,18,—,—,—,—,—,—,—,—,—,9,—,7,—
Отделение VII - О преступлениях и проступках против постановлений ограждающих народное здравие (уложение 1866 г. ст. 831 900),30,66,5,—,—,—,—,—,—,—,—,29,4,31,—
О распространении вредных слухов (уложение 1866 г. ст. 932 938),3,9,—,—,—,—,—,—,—,—,—,3,—,5,—
О возбуждении к начатию или продолжению противозаконных исков и тяжб о лживых доносах лжесвидетельстве и ложных показаниях на повальных обысках (уложение 1866 г. ст. 939 946),1,2,—,—,—,—,—,—,—,—,—,1,—,1,—
О бродяжестве укрывательстве беглых и нарушении постановлений о паспортах (уложение 1866 г. ст. 950 983),29,48,5,—,—,—,—,—,—,—,—,—,—,—,—
О преступлениях против общественной нравственности (уложение 1866 г. ст. 993 1003),2,4,1,—,—,—,—,—,—,—,—,1,1,2,—
О нарушении правил устава строительного (уложение 1866 г. ст. 1058 1065),3,1,2,—,—,—,—,—,—,—,—,1,2,—,—
