ЧИСЛЕ - Военного сословия - М.,ЧИСЛЕ - Военного сословия - Ж.,ЧИСЛЕ - Инородцев - М.,ЧИСЛЕ - Инородцев - Ж.,ЧИСЛЕ - Поселенцев - М.,ЧИСЛЕ - Поселенцев - Ж.,ЧИСЛЕ - Ссыльнокаторжных - М.,ЧИСЛЕ - Ссыльнокаторжных - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - Ж.
—,—,—,—,2,—,—,—,2,2,—,—,5,—,7,—,4,—,3,—
—,—,—,—,—,—,—,—,—,—,—,—,3,1,—,—,1,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,3,1,1,—,—,—
—,—,—,—,4,—,—,—,—,—,—,—,1,—,2,—,1,—,—,—
—,—,—,—,135,17,3,—,—,—,—,4,57,18,92,9,44,1,8,—
—,—,—,—,—,—,—,—,1,—,—,—,7,1,2,1,—,—,—,—
—,—,—,—,64,6,—,—,1,1,—,—,31,8,64,1,22,2,8,—
—,—,—,—,1,—,—,—,—,—,—,—,6,—,4,—,3,—,—,—
—,—,—,—,1,2,—,—,—,—,—,—,16,7,9,—,7,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,3,—,7,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,6,4,7,—,1,—,—,—
