ГОРОДА И ОКРУГА,В зимние месяцы - Число пожаров,В зимние месяцы - Число погоревших дворов,В зимние месяцы - Сумма убытков,В весенние месяцы - Число пожаров,В весенние месяцы - Число погоревших дворов,В весенние месяцы - Сумма убытков
В г. Красноярске,—,—,—,1,1,—
округе оного,9,3,410,9,90,59700
г. Енисейске,—,—,—,—,—,—
округе оного,4,3,1893,1,23,6000
г. Канске,1,3,9392,1,4,60
округе оного,3,4,602,2,3,110
г. Ачинске,—,—,—,—,—,—
округе оного,1,1,422,1,3,68
г. Минусинске,1,—,—,1,2,6556
округе оного,9,11,2161,8,40,18247
Всего по губернии,28,25,14880,24,166,90741
