В летние месяцы - Число пожаров,В летние месяцы - Число погоревших дворов,В летние месяцы - Сумма убытков,В осенние месяцы - Число пожаров,В осенние месяцы - Число погоревших дворов,В осенние месяцы - Сумма убытков,Всего в год - Число пожаров,Всего в год - Число погоревших дворов,Всего в год - Сумма убытков,Причина пожаров - От молний,Причина пожаров - От дурного устройства печей и труб,Причина пожаров - От неосторожности,Причина пожаров - От поджога,Причина пожаров - От других причин
—,—,—,1,1,—,2,2,—,—,—,1,—,1
3,3,1136,16,16,2054,37,112,63300,—,—,8,4,25
—,—,—,1,1,450,1,1,450,—,—,1,—,—
1,1,489,4,1,326,10,28,8708,—,1,5,2,2
—,—,—,—,—,—,2,7,9452,—,—,1,1,—
3,3,521,2,2,274,10,12,1507,—,1,7,—,2
—,—,—,1,—,7,1,—,7,—,—,1,—,1
2,2,674,5,4,8673,9,10,9837,—,—,7,1,1
1,1,135,—,—,—,3,3,6691,—,1,2,—,—
4,11,3915,6,10,5039,27,72,29362,—,19,1,1,6
14,21,6870,36,35,16823,102,247,129314,—,22,33,9,38
