ГОРОДА И ОКРУГА,Число случаев смертоубийства - Детоубийство новорожденных,Число случаев смертоубийства - Смертоубийство,Число случаев смертоубийства - ИТОГО,Жертвы смертоубийства - Детоубийство - М.,Жертвы смертоубийства - Детоубийство - Ж.,Жертвы смертоубийства - Смертоубийство - М.,Жертвы смертоубийства - Смертоубийство - Ж.,Жертвы смертоубийства - ИТОГО - М.,Жертвы смертоубийства - ИТОГО - Ж.,Самоубийство - М.,Самоубийство - Ж.,От болезни - М.,От болезни - Ж.
В г. Красноярске,1,3,4,1,—,2,1,3,1,3,—,6,3
округе оного,1,16,17,—,1,11,5,11,6,5,—,11,2
г. Енисейске,—,1,1,—,—,1,—,1,—,—,—,3,—
округе оного,1,16,17,1,—,14,2,15,2,5,—,8,1
г. Канске,—,—,—,—,—,—,—,—,—,—,—,—,—,—
округе оного,2,17,19,1,1,14,3,15,4,—,—,4,2
г. Минусинске,—,1,1,—,—,1,—,1,—,—,—,2,—
округе оного,1,9,10,—,1,8,1,8,2,3,1,6,1
г. Ачинске,—,2,2,—,—,1,1,1,1,—,—,1,2
округе оного,—,8,8,—,—,7,1,7,1,2,1,5,3
Итого,6,73,79,3,3,59,14,62,17,18,2,46,14
