НАЗВАНИЕ УЧЕБНЫХ ЗАВЕДЕНИЙ,В губернском городе - Число учебных заведений,В губернском городе - Число учащихся - м.,В губернском городе - Число учащихся - ж.
Мужская классическая гимназия,1,203,—
Учительская семинария,1,38,—
Состоящее при ней училище,1,25,—
Женская прогимназия,1,—,123
Уездные и приходские училища городские с приготовительными для них классами для обоего пола,4,206,7
Приют для обоего пола,1,4,96
Духовное училище,1,97,—
Народные школы при церквях и домах церковнослужителей и при волостных правлениях для обоего пола,—,—,—
Щеголевское ремесленное училище,1,52,—
ИТОГО,11,625,226
