В окружных городах - Число учебных заведений,В окружных городах - Число учащихся - м.,В окружных городах - Число учащихся - ж.,В округах - Число учебных заведений,В округах - Число учащихся - м.,В округах - Число учащихся - ж.,Всего в губернии - Число учебных заведений,Всего в губернии - Число учащихся - м.,Всего в губернии - Число учащихся - ж.,Всего в губернии - Число учащихся - обоего пола
—,—,—,—,—,—,1,203,—,203
—,—,—,—,—,—,1,38,—,38
—,—,—,—,—,—,1,25,—,25
1,—,57,—,—,—,2,—,180,180
6,366,—,—,—,—,10,572,7,579
—,—,—,—,—,—,1,4,96,100
—,—,—,—,—,—,1,97,—,97
—,—,—,48,614,134,48,614,134,748
—,—,—,—,—,—,1,52,—,52
7,366,57,48,614,134,66,1605,417,2022
