Название заводов по округам;Перекурено в вино муки ржаной, пшеничной, овсяной и солоду;% безводного спирта;в полугаре ведер 40%;Среднее число пудов употреблено в суточный затор;Среднее число получения вина в полугаре из суточного затора;Сколько суток в периоде действовал завод
Мариинский;не действовал;;;;;
Александровский;18876;732752,32;18318,81;143;138,78;132
Канского: Ильинский;43542;1869079,52;46726,98;от 265—531;311,58;150
Ривенский;11480;436994,03;10924,85;205;195,08;56
Ивановский;29708;1293873,19;32346,08;236;218,03;126
Минусинского: Спасский;не действовал;;;;;
Владимирский;13244;200319,32;12507,98 3/4;86;162,44 1/4;77
Казанский;45995;1935595,07;48389,87 1/2;443 1/2;456,50 3/4;106
Александровский;73834;3258155,99;81453,89 3/4;551;607,86 1/2;134
Енисейского: Каменский;27178;1134599,15;28364,97;214;223,34;127
Итого;263857;11165368,59;279033,44 1/2;-;-;908
