Повинность;Число людей, занятых отправлением этой повинности;Число подвод;Время занятий
1. Исправление мостов, дорог, гатей, бичевников, перил, столбов и приготовление для оных леса;20178;15650;6 месяцев 16 дней
2. Отправление обывательской междудворной гоньбы;30045;73731;1 год
3. Содержание перевозов через реки;66;-;7 месяцев
4. Караул при церквях и сельских экономических магазинах; употребление людей при волостных правлениях и прочих местах в десятники и рассыльные;2788;-;1 год
5. Приготовление леса для общественных строений и дворов для этих зданий, тюрем и церквей;5060;3370;1 год
6. Поправка общественных зданий, магазинов, ледников, караулок и пр.;960;533;1 год
7. Содержание кордонов, поимка беглых, препровождение и пересылка партий;2327;2334;1 год
8. Прекращение лесных пожаров;717;267;1 месяц 23 дня
9. Работы при межевании;1395;495;3 1/4 месяца
10. Препровождение воинских партий;2890;2161;1 год
11. Провоз каравана с серебром;49;44;6 дней
