Округ и товар,Зимою руб. коп.,Весною руб. коп.,Летом руб. коп.,Осенью руб. коп.
В Красноярском округе:,,,
Муки ржаной,1 — 25,1 — 8,— — 89,— — 48
Муки пшеничной,1 — 57,1 — 50,1 — 43,— — 85
Овса,— — 54,— — 51 1/2,— — 45,— — 36 1/2
В Енисейском округе:,,,
Муки ржаной,1 — 37 1/2,1 — 46,1 — 9,— — 71 1/2
Муки пшеничной,1 — 67 1/2,1 — 63,1 — 41 1/2,1 — 15 1/2
Овса,— — 71 1/2,— — 76 1/2,— — 57 1/2,— — 49
В Ачинском округе:,,,
Муки ржаной,1 — 5,1 — 3,— — 85 1/2,— — 56
Муки пшеничной,1 — 30,1 — 30,1 — 18,— — 86
Овса,— — 70,— — 70,— — 56 1/2,— — 38
В Минусинском округе:,,,
Муки ржаной,— — 68 1/2,— — 69,— — 55,— — 41 1/2
Муки пшеничной,1 — 5,1 — 8,— — 94,— — 76 1/2
Овса,— — 41,— — 40,— — 42,— — 30
В Канском округе:,,,
Муки ржаной,— — 77 1/2,— — 90,— — 86 1/2,— — 41 1/2
Муки пшеничной,1 — 50,1 — 50,1 — 50,— — 85
Овса,— — 60,— — 68,— — 85,— — 51 1/2
