По округам,Число магазинов,Налицо Озимого (четв. - гарн.),Налицо Ярового (четв. - гарн.),В недоимке Озимого (четв. - гарн.),В недоимке Ярового (четв. - гарн.),Излишек/недостаток Озимого (четвертей),Излишек/недостаток Ярового (четвертей),Излишек/недостаток Картофеля (четвертей)
Красноярскому,74,14671 (7-5 1/2),68034 (5-2 3/4),4584 (7-2 3/4),9737 (1-„),25297 +,113850 +,12393 —
Енисейскому,78,30109 (1-„ 1/2),15547 (1-7 1/2),22021 (7-4 1/2),6441 („-4 1/2),24852 +,57199 +,8848 —
Ачинскому,22,28391 (1-4 1/2),12369 („-1),8688 (5-1),6607 (2-6 1/2),35085 +,54347 +,17362 +
Минусинскому,54,38628 (7-„),30617 (4-5 1/2),11579 (4-5),11741 (1-5 1/2),5722 —,217999 +,16192 +
Канскому,78,41073 (4-4 1/2),33418 (4-1 1/2),15676 (2-7 1/2),7962 (1-3),53829 +,144604 +,21632 +
На городских землях,—,—,—,—,—,—,356 +,12289 +,4150 +
Итого,306,152874 (5-7),159987 („-2 1/4),62548 (3-5),42488 (7-5 1/4),133697 +,600288 +,38095 +
Всего налицо / в недоимке,,312861 (6-1 1/4),,105037 (3-2 1/4),,,,,
Всего излишков (четвертей),,,,,,,,733985 +
