Название заводов,Перекурено вина (пудов),Получено % безводного спирта,Получено ведер в полугаре (40 %),Среднее число подов в суточный затор,Среднее число получения вина в полугаре из суточного затора,Сколько суток действовал завод
Ачинского округа:,,,,,,
Сидоровский,98392,3957168³⁹,98929²¹,502,"504,64",196
Мариинский,29988,1137850³⁹,28446²⁶,357,"338,64",84
Александровский,Не действовал,,,,,,
Михайловский,21836,845987⁸⁷,21149⁷⁰,212,"205,33",103
Леонидовский,72414,2854790⁷¹,71369⁷⁷,243,"239,48",197
Канского округа:,,,,,,
Ильинский,75330,3019334⁵⁹,75483³⁶,540,"541,09",140
Ривенский,Не действовал,,,,,,
Ивановский,43048,1724830,431120⁷⁵,256,"956,66",168
Минусинского округа:,,,,,,
Каназский,33872,1399720,34993,292,"301,66",116
Александровский,101016,4139750,103493⁷⁵,552,"565,54",183
Владимирский,29876,1280550,32013⁷⁵,194,"207,88",154
Енисейского округа:,,,,,,
Каменский,29070,1192630,29815³⁰,323,"331,28",90
Василе-Исаевский,22338,921570,23039¹⁰,153,"157,80",145
Итого,557180,22474181⁹⁸,561853⁹⁵,—,—,—
