Повинности,Число людей занятых повинностью,Число подвод,Время занятий
"1. Исправление дорог, мостов, гатей, поставка верстовых столбов и приготовление для них леса",17507,16441,8 месяцев
"2. Отправление международной обывательской гоньбы",33212,62406,1 год
"3. Содержание перевозов через реки",512,—,7 1/2 месяцев
"4. Караулы при церквах и экономических магазинах, употребление при волостных и сельских управлениях десятников и проч.",3495,—,1 год
"5. Приготовление леса для общественных строений: тюрем, церквей, богаделен, хлебных магазинов и ледников",4715,2217,1 год
"6. Поимка беглых, препровождение их, а равно и пересыльных партий.",3450,3965,1 год
"7. Прекращение лесных пожаров",253,112,3 дня
"8. Работы при межевании земель",934,223,4 месяца
"9. Поправка общественных зданий, магазинов и проч.",4126,1039,1 год
"10. Перевоз караванов с золотом",283,907,Временно
Итого,68487,87315,—
