Роды фабрик и заводов,Г. Красноярск число фабрик,Г. Красноярск сумма производства,Г. Красноярск число рабочих,Окр. Красноярский число фабрик,Окр. Красноярский сумма производства,Окр. Красноярский число рабочих,Г. Енисейск число фабрик,Г. Енисейск сумма производства,Г. Енисейск число рабочих,Окр. Енисейский число фабрик,Окр. Енисейский сумма производства,Окр. Енисейский число рабочих,Г. Канск число фабрик,Г. Канск сумма производства,Г. Канск число рабочих
I. Обделывающие животные продукты:,,,,,,,,,,,,,,,
Салотопенные и свечные,—,—,—,—,—,—,—,—,—,—,—,—,3,*,*
Мыловаренные,2,13110,9,—,—,—,—,—,—,—,—,—,1,*,*
Кожевенные,9,12300,30,2,380,7,6,8640,10,3,900,8,1,*,*
Воскобелильные,1,16800,2,—,—,—,1,26742,3,—,—,—,—,—,—
II. Обделывающие растительные продукты:,,,,,,,,,,,,,,,
Крупчатные,—,—,—,—,—,—,—,—,—,—,—,—,*,*,*
Маслобойные,—,—,—,—,—,—,—,—,—,—,—,—,*,*,*
Канатные,—,—,—,—,—,—,3,980,6,—,—,—,*,*,*
Винокуренные,—,—,—,—,—,—,—,—,—,2,169135,74,*,*,*
Водочные,4,115320,16,—,—,—,2,2500,5,—,—,—,1,*,*
Пивоваренные,2,2850,8,—,—,—,1,2800,3,—,—,—,—,—,—
Лесопильные,1,10623,24,—,—,—,—,—,—,—,—,—,—,—,—
III. Обделывающие ископаемые продукты:,,,,,,,,,,,,,,,
Железоделательные и чугунолитейные,1,7200,20,—,—,—,—,—,—,—,—,—,*,*,*
Медноплавильные,—,—,—,—,—,—,—,—,—,—,—,—,*,*,*
Стеклоделательные,—,—,—,1,5206,35,—,—,—,—,—,—,*,*,*
Фаянсовые,—,—,—,1,706,5,—,—,—,—,—,—,*,*,*
Колокольные,1,1300,2,—,—,—,—,—,—,—,—,—,*,*,*
Кирпичные,6,16675,42,—,—,—,12,6330,36,—,—,—,1,*,*
Гончарные,—,—,—,1,860,4,—,—,—,25,1935,30,—,—,—
Солеваренные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
IV. Смешанных продуктов:,,,,,,,,,,,,,,,
Экипажные,6,8420,35,—,—,—,—,—,—,—,—,—,—,—,—
Итого,33,241598,197,5,7242,51,25,70492,63,30,171070,112,10,*,*
