Роды фабрик и заводов,Окр. Канский число фабрик,Окр. Канский сумма производства,Окр. Канский число рабочих,Г. Ачинск число фабрик,Г. Ачинск сумма производства,Г. Ачинск число рабочих,Окр. Ачинский число фабрик,Окр. Ачинский сумма производства,Окр. Ачинский число рабочих,Г. Минусинск число фабрик,Г. Минусинск сумма производства,Г. Минусинск число рабочих,Окр. Минусинский число фабрик,Окр. Минусинский сумма производства,Окр. Минусинский число рабочих,Всего в губернии число фабрик,Всего в губернии сумма производства,Всего в губернии число рабочих
I. Обделывающие животные продукты:,,,,,,,,,,,,,,,,,,
Салотопенные и свечные,—,—,—,1,800,4,—,—,—,5,5000,11,—,—,—,12,26033,39
Мыловаренные,—,—,—,—,—,—,—,—,—,2,300,3,—,—,—,5,15540,9
Кожевенные,2,750,2,2,3300,4,13,20512,25,7,10000,18,—,—,—,45,94382,114
Воскобелильные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,43542,5
II. Обделывающие растительные продукты:,,,,,,,,,,,,,,,,,,
Крупчатные,—,—,—,—,—,—,—,—,—,—,—,—,3,137309,65,3,157309,65
Маслобойные,—,—,—,—,—,—,2,925,4,4,1500,11,—,—,—,6,2425,15
Канатные,—,—,—,—,—,—,1,300,2,—,—,—,—,—,—,4,1280,8
Винокуренные,5,362000,84,—,—,—,5,669012,198,—,—,—,3,545601,95,13,1745748,451
Водочные,—,—,—,—,—,—,5,57300,10,2,64100,16,1,11000,13,13,298820,65
Пивоваренные,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,5,12650,11
Лесопильные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,10623,24
III. Обделывающие ископаемые продукты:,,,,,,,,,,,,,,,,,,
Железоделательные и чугунолитейные,—,—,—,—,—,—,—,—,—,—,—,—,1,135364,564,2,142564,393
Медноплавильные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Стеклоделательные,—,—,—,—,—,—,—,—,—,—,—,—,1,58259,89,2,63465,124
Фаянсовые,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,796,5
Колокольные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,1500,2
Кирпичные,—,—,—,6,1325,7,5,1050,14,5,10000,35,—,—,—,38,37380,142
Гончарные,—,—,—,—,—,—,2,53,5,3,300,6,—,—,—,51,2248,45
Солеваренные,1,122056,44,—,—,—,—,—,—,—,—,—,1,36587,39,2,158434,83
IV. Смешанных продуктов:,,,,,,,,,,,,,,,,,,
Экипажные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6,8420,35
Итого,6,484806,150,9,4425,15,51,749152,256,26,91200,100,10,923911,665,185,2788421,1624
