Незаконнорожденных муж.,Незаконнорожденных жен.,Незаконнорожденных обоего пола,ВСЕГО родившихся муж.,ВСЕГО родившихся жен.,ВСЕГО родившихся обоего пола,Число умерших муж.,Число умерших жен.,Число умерших обоего пола,Прибыль + или убыль —,Число браков
62,53,115,332,324,656,540,533,1073,417—,112
34,27,61,164,166,330,240,191,431,101—,57
6,3,9,86,86,172,218,63,281,109—,22
16,19,35,211,175,386,171,147,318,68+,51
6,6,12,104,109,213,116,86,202,11+,33
2,1,3,22,15,37,8,5,13,24+,9
126,109,235,919,875,1794,1293,825,2118,324—,281
127,101,231,1616,1595,3211,1561,1434,2995,216+,492
3,122,228,1230,1165,2395,1192,996,2188,207+,323
151,162,316,1741,1610,3351,1586,1372,2958,393+,429
580,392,1072,3142,3093,6255,2353,1983,4316,1915+,857
159,160,319,2059,1996,4054,1688,1446,3141,910+,568
3,2,5,19,15,54,10,8,18,16+,2
1129,1042,2171,9806,9474,19280,8370,7219,15619,3661+,2671
1256,1151,2406,10725,10349,21074,9668,8074,17757,3337+,2955
