Наименование сборов,Следовало поступить - Недоимок - руб.,Следовало поступить - Недоимок - коп.,Следовало поступить - Оклада - руб.,Следовало поступить - Оклада - коп.,Вновь причислено - Недоимок - руб.,Вновь причислено - Недоимок - коп.,Вновь причислено - Оклада - руб.,Вновь причислено - Оклада - коп.
3. Окладного сбора:,,,,,,,,
С мещан,6165,21,5077,27,137,64,161,92
— кочевых инородцев,121,18,2427,44,—,—,—,—
Итого окладного сбора,6286,59,7504,71,137,64,161,92
4. *,8615,—,—,—,739,23,6861,—
5. Сбор на **,8180,95,—,—,532,10 1/2,3008,21
6. Пени за ***,—,—,—,—,—,—,1031,13
7. Ясачного сбора:,,,,,,,,
С кочевых инородцев,9132,94,16921,43,—,—,—,—
Поступило на 1883 г.,—,—,—,—,—,—,—,—
8. Межевого сбора:,,,,,,,,
С государственных крестьян,2672,83,2803,8,65,72 1/4,13,87
— купцов и мещан,2,81,—,48,—,—,—,—
— оседлых инородцев,3,9,48,81,9,21,—,—
— кочевых инородцев,—,19,205,52,—,—,—,—
Итого межевого сбора,2678,92,3055,89,74,93 3/4,13,87
Поступило на 1883 г.,—,—,—,—,—,—,—,—
9. Пожарного сбора:,,,,,,,,
С государственных крестьян,3429,33,3757,44,10,30,17,28
— купцов и мещан,3,24,—,64,—,—,—,—
— оседлых инородцев,11,66,64,32,—,—,—,—
— переселенцев,49,52,—,—,101,85,—,—
Итого пожарного сбора,3494,15,3822,40,112,15,17,28
Поступило на 1883 г.,—,—,—,—,—,—,—,—
10. В капитале народного продовольствия,832,87,—,—,—,—,—,—
11. Экономического капитала:,,,,,,,,
С ссыльно-поселенцев,10817,50,3178,96,321,60,382,81
Поступило на 1883 г.,—,—,—,—,—,—,—,—
12. Добавочного сбора с *** 1 и 2 ***,—,—,6000,—,—,—,4104,25
13. Губернской и земской повинности:,,,,,,,,
С мещан,21918,64,12982,46,75,2,401,77
— государственных крестьян,61896,9 1/4,105476,62,3266,93 1/4,482,17*
— купцов и мещан живущих в селениях,293,99 3/4,17,15,96,67 1/4,—,—
— поселенцев,37779,46,9467,11,3486,92,648,87 1/2
