Исключено - Недоимок - руб.,Исключено - Недоимок - коп.,Исключено - Оклада - руб.,Исключено - Оклада - коп.,Вступило - Недоимок - руб.,Вступило - Недоимок - коп.,Вступило - Оклада - руб.,Вступило - Оклада - коп.,Осталось к 1 января 1883 г. - Недоимок - руб.,Осталось к 1 января 1883 г. - Недоимок - коп.,Осталось к 1 января 1883 г. - Оклада - руб.,Осталось к 1 января 1883 г. - Оклада - коп.,Осталось к 1 января 1883 г. - Всего - руб.,Осталось к 1 января 1883 г. - Всего - коп.
—,17,18,12,233,40,1687,68,669,59,188,72,858,81
214,18,1,60,342,54,5929,19,950,28,123,25517,95,11 1/4
13227,67 1/4,1988,10,15159,6,109914,22,—,—,—,—,—,—
—,—,—,—,—,—,283,66,—,—,—,—,—,—
,,,,,,,,,,,,,,
5472,86,655,43 1/4,5436,28 1/2,80947,3 1/4,56686,48 1/2,10390,54 1/4,67077,2 3/4
—,—,—,—,2,27,4,88,39,14,10,80,49,94
—,—,—,—,145,1,1407,20,827,5 1/4,187,26,1014,39 3/4
145,11,—,49,72,6,6365,59,1538,40,277,34,1815,74
5215,84 3/4,645,51,1202,98 1/4,2136,59 1/4,17151,17,5568,28 1/4,32719,45 1/2
10853,81 3/4,1299,43 3/4,6846,60 3/4,90851,29 3/4,76242,22 3/4,16454,22 3/4,92676,45 1/2
—,—,—,—,—,—,289,18,—,—,—,—,—,—
87828,94 1/4,21920,5 1/2,60891,10 1/4,573918,59,516871,25 1/2,165880,60 3/4,682751,86 1/4
—,—,—,—,—,—,3780,72,—,—,—,—,—,—
