Наименование местности,По подушной подати и окладному сбору - руб.,По подушной подати и окладному сбору - коп.,По оброчной подати и дополнительному сбору - руб.,По оброчной подати и дополнительному сбору - коп.,* - руб.,* - коп.
По городам: Красноярску,3310,41 3/4,—,—,—,—
Енисейску,544,14,—,—,—,—
Канску,400,97,—,—,—,—
Ачинску,2603,69 3/4,—,—,—,—
Минусинску,1516,17,—,—,—,—
Итого,8175,39 1/2,—,—,—,—
По округам: Красноярскому,27457,11,81956,11 3/4,7364,37 3/4
Енисейскому,11932,16,32554,69 1/4,6477,56
Канскому,13331,16 1/4,47305,2 1/2,2748,60 2/4
Ачинскому,50713,87 1/4,100304,62,6807,13 3/4
Минусинскому,18589,84,45665,16 1/4,2904,98 1/2
Итого,102024,14 1/4,307755,61 3/4,26352,98 1/2
ВСЕГО,110199,54,307755,61 3/4,26352,98 1/2
