На народное про * - руб.,На народное про * - коп.,По * сборам - руб.,По * сборам - коп.,По налогу на передвижение имущества и квартирную повинность - руб.,По налогу на передвижение имущества и квартирную повинность - коп.,По покупным платежам - руб.,По покупным платежам - коп.,По разрешенным недоимкам - руб.,По разрешенным недоимкам - коп.,ВСЕГО - руб.,ВСЕГО - коп.
—,—,6530,52 1/2,11320,27,—,—,—,—,21161,21 1/4
—,—,1861,6,2389,54,—,—,—,—,4794,74
—,—,257,2,—,—,—,—,—,—,657,99
—,—,2511,15 1/2,1428,82 1/2,—,—,—,—,13543,67 1/4
—,—,6636,89,3383,12,—,—,—,—,11336,18
—,—,24756,65,18521,75 1/2,—,—,—,—,51493,80
—,—,53381,96 3/4,—,—,—,—,—,—,170162,57 3/4
—,—,16647,84 3/4,—,—,—,—,—,—,67612,26
—,—,26768,94 1/4,—,—,—,—,—,—,90153,73 1/2
—,—,73104,49,—,—,—,—,—,—,210930,43 1/4
—,—,25222,67,—,—,—,—,—,—,92402,5 3/4
—,—,1951280,91 1/2,—,—,—,—,—,—,631261,6 3/4
—,—,219925,56 1/2,18521,75 1/2,—,—,—,—,682754,86 3/4
