Роды преступлений,Число преступлений,Число осужденных - М.,Число осужденных - Ж.,В том числе - Дворян потомственных - М.,В том числе - Дворян потомственных - Ж.,В том числе - Дворян личных - М.,В том числе - Дворян личных - Ж.,В том числе - Почетных граждан и купцов - М.,В том числе - Почетных граждан и купцов - Ж.,В том числе - Духовного звания - М.,В том числе - Духовного звания - Ж.,В том числе - Мещан - М.,В том числе - Мещан - Ж.,В том числе - Крестьян и причисленных в крестьяне ссыльных - М.,В том числе - Крестьян и причисленных в крестьяне ссыльных - Ж
Преступления против веры и постановлений церкви,3,12,6,—,—,—,—,—,—,—,—,2,—,9,6
Святотатство,5,13,—,—,—,—,—,—,—,1,—,10,—
Сопротивление распоряжениям правительства неповиновение установленным властям и проч.,2,8,—,—,—,—,—,—,—,—,—,1,—,7,—
Оскорбление и личное неуважение к присутственным местам и чиновникам при отправлении должности,15,20,3,—,1,—,—,1,—,—,—,—,—,8,1
Самовольное присвоение власти и составление подложных указов и проч.,4,11,2,—,—,—,—,—,—,—,—,2,—,7,1
Похищение бумаг или вещей из присутственных мест сорвание печатей и проч.,1,1,—,—,—,—,—,—,—,—,—,—,—,1,—
Взлом тюрем уход и побег находящихся под стражею или надзором,4,7,—,—,—,—,—,—,—,—,—,—,—,2,—
Преступления и проступки по службе государственной и общественной,15,38,—,—,—,9,—,—,—,4,—,1,—,24,—
Укрывательство военных дезертиров и лиц состоящих на очереди по рекрутскому набору,3,33,—,—,—,—,—,—,—,—,—,1,—,32,—
Нарушение уставов монетных,42,79,16,—,—,—,—,—,—,—,—,5,1,33,8
Нарушение уставов горных,2,4,—,—,—,—,—,—,—,—,—,—,—,4,—
Нарушение уставов о соли,1,2,—,—,—,—,—,—,—,—,—,—,—,2,—
Нарушение постановлений по питейному сбору и акцизу,20,16,4,—,—,—,—,4,1,—,—,6,—,5,2
Возбуждение к начатию или продолжению противодейственных основ и тяжб лживых доносов и проч.,6,28,—,—,—,—,—,1,—,—,—,1,—,24,—
Бродяжничество укрывательство беглых и проч.,7,5,1,—,—,—,—,—,—,—,—,—,—,1,—
Составление подложных на жительство видов и проч.,19,26,—,—,—,—,—,—,—,—,—,3,—,15,—
