Численность - Военного сословия - М.,Численность - Военного сословия - Ж.,Численность - Инородцев - М.,Численность - Инородцев - Ж.,Численность - Поселенцев - М.,Численность - Поселенцев - Ж.,Численность - Ссыльно-каторжных - М.,Численность - Ссыльно-каторжных - Ж.,Возраст - Ниже 17 лет - М.,Возраст - Ниже 17 лет - Ж.,Возраст - 17-20 - М.,Возраст - 17-20 - Ж.,Возраст - 21-30 - М.,Возраст - 21-30 - Ж.,Возраст - 31-40 - М.,Возраст - 31-40 - Ж.,Возраст - 41-50 - М.,Возраст - 41-50 - Ж.,Возраст - 51-60 - М.,Возраст - 51-60 - Ж.,Возраст - Свыше 60 лет - М.,Возраст - Свыше 60 лет - Ж.
—,—,—,—,1,—,—,—,—,—,—,—,3,—,7,—,2,2,—,4,—,—
—,—,—,—,2,—,—,—,—,—,—,—,3,—,5,—,4,—,1,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,2,—,3,—,2,—,—,—,1,—
—,—,—,—,13,1,—,—,—,—,—,—,1,—,15,1,3,1,—,—,2,—
2,1,—,—,—,—,—,—,—,—,1,—,1,1,5,—,2,1,1,—,1,—
—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
—,—,—,—,2,—,3,—,—,—,—,—,5,—,—,—,2,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,8,—,19,—,7,—,2,—,2,—
—,—,—,—,—,—,—,—,—,—,—,—,12,—,12,—,9,—,—,—,—,—
2,—,1,—,36,5,2,2,—,—,—,1,20,3,29,4,20,5,8,—,2,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—
—,1,—,—,—,—,—,—,—,—,—,—,2,1,6,3,5,—,1,—,1,—
—,—,—,—,2,—,—,—,—,—,—,—,10,—,5,—,10,—,2,—,1,—
—,—,—,—,4,1,—,—,—,—,—,—,—,—,3,1,2,—,—,—,1,—
1,—,—,—,7,—,—,—,—,—,—,—,8,—,11,—,5,—,1,—,—,—
