В летние месяцы - Число пожаров,В летние месяцы - Число погоревших дворов,В летние месяцы - Сумма убытков,В осенние месяцы - Число пожаров,В осенние месяцы - Число погоревших дворов,В осенние месяцы - Сумма убытков,Всего в году - Число пожаров,Всего в году - Число погоревших дворов,Всего в году - Сумма убытков,Причина пожаров - От молнии,Причина пожаров - От дурного устройства печей и труб,Причина пожаров - От неосторожности,Причина пожаров - От поджога,Причина пожаров - От других причин
5,5,5700,2,2,65,13,15,14107,—,2,3,—,9
9,10,928,5,5,439,23,43,28571,—,—,8,3,12
—,—,—,1,1,60,1,1,60,—,—,—,—,1
2,2,1960,1,1,250,10,10,5548,—,—,—,—,10
2,*,8200,—,—,—,3,8,8200,—,—,—,—,3
1,1,11370,4,1,2625,23,15,23978,1,12,—,3,7
—,—,—,1,1,950,4,4,9250,—,—,4,—,—
—,—,—,1,1,115,2,2,285,1,2,—,—,—
—,—,—,—,—,—,1,1,60,—,—,—,—,1
8,8,5597,10,12,3155,43,46,50079,2,14,6,1,20
26,*,33755,25,24,7639,124,146,120128,4,50,20,7,63
