Найденные мертвые тела - М.,Найденные мертвые тела - Ж.,Жертвы случайной смерти - Убито градом - М.,Жертвы случайной смерти - Убито градом - Ж.,Жертвы случайной смерти - Задавлено и упало с высоты - М.,Жертвы случайной смерти - Задавлено и упало с высоты - Ж.,Жертвы случайной смерти - Сгорело и убито на пожарах - М.,Жертвы случайной смерти - Сгорело и убито на пожарах - Ж.,Жертвы случайной смерти - Умерло от угара - М.,Жертвы случайной смерти - Умерло от угара - Ж.,Жертвы случайной смерти - Замерзло - М.,Жертвы случайной смерти - Замерзло - Ж.,Жертвы случайной смерти - Утонуло - М.,Жертвы случайной смерти - Утонуло - Ж.,Жертвы случайной смерти - Укушено до смерти зверями - М.,Жертвы случайной смерти - Укушено до смерти зверями - Ж.,Жертвы случайной смерти - Умерло от других случайностей - М.,Жертвы случайной смерти - Умерло от других случайностей - Ж.,Жертвы случайной смерти - Итого - М.,Жертвы случайной смерти - Итого - Ж.,Всего умерло от насильственной смерти и случайностей - М.,Всего умерло от насильственной смерти и случайностей - Ж.
5,5,—,—,—,—,—,—,—,—,1,—,—,—,—,—,2,—,3,—,50,11
15,6,—,—,2,—,1,—,1,—,1,1,3,—,—,—,4,2,12,3,108,12
4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,1,—,15,1
11,2,—,—,—,—,—,—,2,—,4,—,1,—,—,—,2,—,6,—,41,4
—,—,—,—,—,—,—,—,2,—,1,—,1,—,—,—,—,—,4,—,14,—
19,2,1,—,2,—,1,—,1,—,3,—,4,—,—,—,6,—,17,—,81,3
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3,—
10,—,—,—,1,—,—,—,3,—,4,—,2,—,—,—,3,—,13,—,76,7
2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,—
29,2,—,—,2,—,—,—,1,—,—,—,1,—,—,—,1,—,3,—,93,6
95,17,1,—,7,—,1,—,7,—,14,1,11,—,—,—,18,2,59,3,485,44
