Города и округа,Число случаев смертоубийства - Детоубийство новорожденных,Число случаев смертоубийства - Смертоубийство,Число случаев смертоубийства - Итого,Жертвы смертоубийства - Детоубийство - М.,Жертвы смертоубийства - Детоубийство - Ж.,Жертвы смертоубийства - Смертоубийство - М.,Жертвы смертоубийства - Смертоубийство - Ж.,Жертвы смертоубийства - Итого - М.,Жертвы смертоубийства - Итого - Ж.,Самоубийство - М.,Самоубийство - Ж.,Скоропостижно умершие - От болезни - М.,Скоропостижно умершие - От болезни - Ж.,Скоропостижно умершие - От пьянства - М.,Скоропостижно умершие - От пьянства - Ж.,Скоропостижно умершие - От неизвестных причин - М.,Скоропостижно умершие - От неизвестных причин - Ж.,Скоропостижно умершие - Итого - М.,Скоропостижно умершие - Итого - Ж.
В г. Красноярске,—,15,15,—,—,14,1,14,1,4,—,17,2,5,3,2,—,24,5
округе оного,—,35,35,—,—,34,1,34,1,3,—,19,—,11,1,14,1,44,2
г. Енисейске,—,9,9,—,—,8,1,8,1,—,—,—,—,2,—,—,—,2,—
округе оного,1,10,11,—,1,9,1,9,2,3,—,4,—,6,—,2,—,12,—
г. Канске,—,3,5,—,—,3,—,3,—,—,—,1,—,6,—,—,—,7,—
округе оного,—,24,24,—,—,24,—,24,—,4,—,6,—,4,—,7,1,17,1
г. Минусинске,—,1,1,—,—,1,—,1,—,—,—,1,—,1,—,—,—,2,—
округе оного,1,21,22,1,—,17,4,18,4,6,—,8,1,6,2,15,—,29,5
г. Ачинске,—,2,2,—,—,2,—,2,—,—,—,—,—,—,—,—,—,—,—
округе оного,1,26,27,—,1,25,1,25,2,2,—,7,—,13,1,14,1,34,2
Итого,3,146,149,1,2,137,9,138,11,22,—,63,3,54,7,54,3,171,15
