id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;1895 г.;1895;5 ОБЗОР ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;#event_1895_1
2;1895 год;1895;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;#event_1895_2
3;1886 год;1886;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;#event_1895_3
4;1882 г.;1882;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;#event_1895_4
5;1895 г.;1895;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;#event_1895_5
6;1882 г.;1882;7 что пшеница и ярица сеются в губернии почти в равном количестве. Культура картофеля, если сравнить;#event_1895_6
7;1896 г.;1896;7 что пшеница и ярица сеются в губернии почти в равном количестве. Культура картофеля, если сравнить;#event_1895_7
8;1895 г.;1895;9 к распахиванию все новых и новых земель, с истреблением на них лесов и сниманию с них в продолжени;#event_1895_8
9;1894 г.;1894;12 Зимою. Весною. Летом. Осенью. В округах: руб. коп. руб. коп. руб. коп. руб. коп.;#event_1895_9
10;1896 года;1896;14 Б) ОБЕСПЕЧЕНИЕ НАРОДНОГО ПРОДОВОЛЬСТВИЯ. К 1-му января;#event_1895_10
