"Таблица 1: Количество собранного хлеба было (в четвертях)"
"Округ","Озимого","Ярового","Картофеля"
"Красноярскому","30 255-6-4","172 214-6-2","40 000-6 —,,"""
"Енисейскому","44 698-1-4","105 409-1-7","17 948"
"Канскому","77 724-6 —,,""","247 450 —,,"" ,,""","57 487-4 —,,"""
"Ачинскому","103 668","373 796","37 458"
"Минусинскому","79 526-4-4","863 492-5 —,,""","130 517-2 —,,"""
"На городских землях","670","16 862-5 —,,""","1 170"
"Итого","336 542-4-4","1 779 225-2-1","284 581-4 —,,"""
"Итого озимого и ярового","2 115 767-6-5","",""

"Таблица 2: Сравнение урожая отчетного года с минувшим (+ или -)"
"Округ","Озимого","Ярового","Картофеля"
"Красноярскому","- 33 126-2-6","- 339 807 —,,"" 4","- 27 671-4 —,,"""
"Енисейскому","+ 275-7-6","- 32 941-5-6","- 9 158 —,,"" ,,"""
"Канскому","- 19 304-6","- 98 017-2 —,,""","+ 35 901-2 —,,"""
"Ачинскому","- 15 298","- 106 216-4 —,,""","+ 7 871 —,,"" ,,"""
"Минусинскому","+ 8 908-4-4","- 13 682","+ 30 336-6 —,,"""
"На городских землях","+ 9 575","- 36 371-3 —,,""","- 1 470"
"Итого","- 58 469-4-4","- 617 041-2-3","+ 35 809-4 —,,"""
"Итого озимого и ярового","- 675 510-6-7","",""
