"М.","Жен.","Иностранн. подданных: М.","Иностранн. подданных: Жен.","Инородцев: М.","Инородцев: Жен.","Поселенцев: М.","Поселенцев: Жен.","Ссыльно-каторжных: М.","Ссыльно-каторжных: Жен.","Ниже 17 лет: М.","Ниже 17 лет: Жен.","17—20 лет: М.","17—20 лет: Жен.","21—30 лет: М.","21—30 лет: Жен.","31—40 лет: М.","31—40 лет: Жен.","41—50 лет: М.","41—50 лет: Жен.","51—60 лет: М.","51—60 лет: Жен.","Свыше 60 лет: М.","Свыше 60 лет: Жен."
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","2","—","—","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","1","1","2","—","—","1","—","1","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","—","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","3","—","2","—","1","—","1","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","5","—","1","—","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","5","—","1","—","1","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","3","—","11","—","4","—","—","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","3","—","1","—","3","—","2","—","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","2","—","1","—","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","—","—","—","—"
"*","*","—","—","—","—","9","—","—","—","2","5","6","7","5","6","14","8","18","10","5","3","2","1"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","1","—","3","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","1","—","1","—","—","—","—","—","—","—"
"*","*","—","—","1","—","16","2","441","3","2","—","16","6","106","25","622","54","653","46","366","35","164","10","88","4"
"*","*","—","—","—","—","4","—","—","—","—","—","—","—","2","—","3","—","—","—","—","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","1","—","—","—","—","—","—","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","—","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"*","*","1","—","16","2","441","3","2","—","16","6","106","25","622","54","653","46","366","35","164","10","88","4"
"*","*","—","—","—","—","19","—","—","—","3","1","6","2","35","10","36","6","21","6","15","3","3","1"
"*","*","—","—","1","—","1","—","—","—","1","—","1","1","6","3","16","13","10","1","10","3","3","—"
"*","*","—","—","—","—","7","1","—","—","—","—","1","1","13","1","18","4","14","3","7","—","6","2"
"*","*","—","—","—","—","—","—","—","—","—","—","3","—","9","—","16","—","7","—","2","—","2","1"
