"Наименование преступлений","Число преступлений и дел","Число осужденных: М.","Число осужденных: Ж.","Дворян потомственных: М.","Дворян потомственных: Ж.","Дворян личных: М.","Дворян личных: Ж.","Почетных граждан и купцов: М.","Почетных граждан и купцов: Ж.","Духовного звания: М.","Духовного звания: Ж.","Мещан: М.","Мещан: Ж.","Крестьян: М.","Крестьян: Ж."
"О нарушении устава строительного 65—87","7","4","4","—","—","1","—","1","—","—","—","1","1","—","2"
"О нарушении правил осторожности от пожаров 88—98","4","4","—","—","—","—","—","—","—","—","—","—","—","4","—"
"О нарушении устава о паспортах 58—64","10","10","1","—","—","—","—","—","—","—","—","2","—","6","1"
"О нарушении порядка и спокойствия 37—51","10","11","2","—","—","—","—","—","—","—","—","5","1","4","*"
"О проступках против народного здравия 29—34","5","7","—","—","—","—","—","—","—","—","—","5","—","1","—"
"О преступлениях против порядка управления 29—34","12","15","4","—","—","—","—","—","—","—","—","3","1","11","2"
"О проступках против личной безопасности 117—129","14","11","5","—","2","2","1","2","—","—","—","3","2","4","—"
"О самовольном пользовании чужим имуществом 145—153","4","4","—","—","—","—","—","—","—","—","—","—","—","4","—"
"Итого по мировому уставу","330","330","76","3","5","8","5","7","1","—","—","101","33","154","28"
"Всего","2146","2345","256","14","5","67","5","19","2","4","—","370","55","1272","300"
