"Города и округа","В зимние месяцы: Число пожаров","В зимние месяцы: Число погоревших дворов","В зимние месяцы: Сумма убытков","В весенние месяцы: Число пожаров","В весенние месяцы: Число погоревших дворов","*"
"В гор. Красноярске","4","1","1 700","5","3","*"
"В округе оного","31","31","2 248—15","15","16","*"
"В гор. Енисейске","—","—","—","—","—","*"
"В округе оного","23","16","523","16","5","*"
"В гор. Канске","2","2","250","1","1","*"
"В округе оного","11","9","295","8","9","*"
"В гор. Ачинске","2","4","11 500","3","3","*"
"В округе оного","9","9","1 955","9","15","*"
"В гор. Минусинске","1","1","18","—","—","*"
"В округе оного","32","33","268—50","24","21","*"
"Усинском пограничном округе","—","—","—","—","—","*"
"Туруханском крае","—","—","—","—","—","*"
"ИТОГО","115","106","18 757—65","81","173","*"
